phase,sample_index,repetition,latency_us,lane_00_raw,lane_01_raw,lane_02_raw,lane_03_raw,lane_04_raw,lane_05_raw,lane_06_raw,lane_07_raw,lane_08_raw,lane_09_raw,lane_10_raw,lane_11_raw,lane_12_raw,lane_13_raw,lane_14_raw,lane_15_raw,lane_16_raw,lane_17_raw,lane_18_raw,lane_19_raw,lane_20_raw,lane_21_raw,lane_22_raw,lane_23_raw,lane_24_raw,lane_25_raw,lane_26_raw,lane_27_raw,lane_28_raw,lane_29_raw,lane_30_raw,lane_31_raw
sample,0,1,3194.501,4778,21069,0,2048,1,2047,2047,0,0,0,62179,35286,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,1,1,3195.202,4778,21069,1,2048,1,2047,2047,0,0,0,50724,38676,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,2,1,3198.157,4778,21069,2,2048,1,2047,2047,0,0,0,4960,43642,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,3,1,3196.905,4778,21069,3,2048,1,2047,2047,0,0,0,54604,59430,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,4,1,3209.459,4778,21069,4,2048,1,2047,2047,0,0,0,56699,5949,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,5,1,3258.863,4778,21069,5,2048,1,2047,2047,0,0,0,19121,20446,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,6,1,3224.928,4778,21069,6,2048,1,2047,2047,0,0,0,17470,3454,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,7,1,3197.195,4778,21069,7,2048,1,2047,2047,0,0,0,20821,33814,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,8,1,3225.62,4778,21069,8,2048,1,2047,2047,0,0,0,59751,28730,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,9,1,3225.489,4778,21069,9,2048,1,2047,2047,0,0,0,28418,23750,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,10,1,3225.69,4778,21069,10,2048,1,2047,2047,0,0,0,6615,195,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,11,1,3251.068,4778,21069,11,2048,1,2047,2047,0,0,0,13129,46848,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,12,1,3224.016,4778,21069,12,2048,1,2047,2047,0,0,0,20425,6345,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,13,1,3224.307,4778,21069,13,2048,1,2047,2047,0,0,0,57511,34895,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,14,1,3226.451,4778,21069,14,2048,1,2047,2047,0,0,0,27042,17153,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,15,1,3192.236,4778,21069,15,2048,1,2047,2047,0,0,0,46870,55366,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,16,1,3232.062,4778,21069,16,2048,1,2047,2047,0,0,0,20383,20031,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,17,1,3197.696,4778,21069,17,2048,1,2047,2047,0,0,0,49738,49538,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,18,1,3233.995,4778,21069,18,2048,1,2047,2047,0,0,0,7397,34834,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,19,1,3211.021,4778,21069,19,2048,1,2047,2047,0,0,0,2450,15095,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,20,1,3229.616,4778,21069,20,2048,1,2047,2047,0,0,0,52470,63045,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,21,1,3269.993,4778,21069,21,2048,1,2047,2047,0,0,0,30364,16260,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,22,1,3224.898,4778,21069,22,2048,1,2047,2047,0,0,0,42916,7361,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,23,1,3237.181,4778,21069,23,2048,1,2047,2047,0,0,0,14667,49655,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,24,1,3219.668,4778,21069,24,2048,1,2047,2047,0,0,0,36474,21957,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,25,1,3219.066,4778,21069,25,2048,1,2047,2047,0,0,0,52337,7218,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,26,1,3251.418,4778,21069,26,2048,1,2047,2047,0,0,0,28868,52880,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,27,1,3212.394,4778,21069,27,2048,1,2047,2047,0,0,0,60156,29362,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,28,1,3233.895,4778,21069,28,2048,1,2047,2047,0,0,0,41702,38976,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,29,1,3209.288,4778,21069,29,2048,1,2047,2047,0,0,0,57212,30389,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,30,1,3233.555,4778,21069,30,2048,1,2047,2047,0,0,0,16130,38087,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,31,1,3193.508,4778,21069,31,2048,1,2047,2047,0,0,0,18134,28798,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,32,1,3226.06,4778,21069,32,2048,1,2047,2047,0,0,0,41122,53956,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,33,1,3217.303,4778,21069,33,2048,1,2047,2047,0,0,0,38298,21777,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,34,1,3226.711,4778,21069,34,2048,1,2047,2047,0,0,0,5051,36471,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,35,1,3197.096,4778,21069,35,2048,1,2047,2047,0,0,0,3261,2129,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,36,1,3209.418,4778,21069,36,2048,1,2047,2047,0,0,0,24306,59792,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,37,1,3209.278,4778,21069,37,2048,1,2047,2047,0,0,0,65111,2260,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,38,1,3198.408,4778,21069,38,2048,1,2047,2047,0,0,0,5246,30483,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,39,1,3264.633,4778,21069,39,2048,1,2047,2047,0,0,0,18488,18377,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,40,1,3232.633,4778,21069,40,2048,1,2047,2047,0,0,0,43932,52544,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,41,1,3230.659,4778,21069,41,2048,1,2047,2047,0,0,0,3042,16079,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,42,1,3216.883,4778,21069,42,2048,1,2047,2047,0,0,0,39359,38659,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,43,1,3222.473,4778,21069,43,2048,1,2047,2047,0,0,0,29535,24751,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,44,1,3205.621,4778,21069,44,2048,1,2047,2047,0,0,0,12485,36959,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,45,1,3230.418,4778,21069,45,2048,1,2047,2047,0,0,0,32651,62463,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,46,1,3193.468,4778,21069,46,2048,1,2047,2047,0,0,0,26928,39677,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,47,1,3286.955,4778,21069,47,2048,1,2047,2047,0,0,0,1495,47601,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
