layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,1.9130927324295044,1.9130927324295044,3.75802743434906,3.75802743434906,3.8574880361557007,2.1145859788352768,0.9999999999998986,1,auto,auto,auto
pool4,"(4, 4, 32)",512,2.149697613366243,2.149697613366243,0.6039033693255078,0.8735183905366365,1.9493958950042725,0.28614106158461033,0.9603215912601419,1,auto,auto,
conv4,"(8, 8, 32)",2048,2.3629391633256773,2.3629391633256773,0.6143605617618277,0.7889707297250147,1.9488532543182373,0.28266440498902906,0.9592313826911409,1,auto,auto,auto
act4,"(8, 8, 32)",2048,1.5180820610867158,1.5180820610867158,0.47856484979865854,0.7184987819531606,1.9493958950042725,0.3067690625886503,0.952411308977476,1,auto,,
gap,"(1, 1, 32)",32,2.1496976045891643,2.1496976045891643,0.49987371172755957,0.5912940740652728,0.9527871608734131,0.22325739061198477,0.9747958557263702,1,auto,auto,
pool3,"(8, 8, 24)",1536,0.9458840504690519,0.9458840504690519,0.1277475567487727,0.18461226487434057,0.5625121593475342,0.1642873538143981,0.9904654699780019,1,auto,auto,
conv3,"(16, 16, 24)",6144,0.8531757166990322,0.8531757166990322,0.12461120368055845,0.17137850921229408,0.5624759197235107,0.17165608133387716,0.98811232462517,1,auto,auto,auto
act3,"(16, 16, 24)",6144,0.7616900671244243,0.7616900671244243,0.11026993275287111,0.16539927106820843,0.5625121593475342,0.1721400128351582,0.9888971228527931,1,auto,,
pad_conv4,"(10, 10, 24)",2400,0.6053657923001932,0.6053657923001932,0.08175843631921452,0.14768981189947247,0.5625121593475342,0.1642873538143981,0.9904654699780019,1,auto,,
pool2,"(16, 16, 24)",6144,0.4330339064359852,0.4330339064359852,0.04272052411302241,0.056676122400159054,0.15262174606323242,0.0971724361110807,0.9975714496286232,1,auto,auto,
conv2,"(32, 32, 24)",24576,0.43680912167507024,0.43680912167507024,0.044208903052699235,0.054401082970408556,0.15332567691802979,0.09893071139159863,0.9962660708098412,1,auto,auto,auto
act2,"(32, 32, 24)",24576,0.33939436481024643,0.33939436481024643,0.03619294499908676,0.051287273584634835,0.15423929691314697,0.10325974420417672,0.9969978615071603,1,auto,,
pad_conv3,"(18, 18, 24)",7776,0.34215024706053154,0.34215024706053154,0.03375448818806709,0.05037877546680805,0.15262174606323242,0.0971724361110807,0.9975714496286232,1,auto,,
pool1,"(32, 32, 16)",16384,0.33832179068929946,0.33832179068929946,0.016384602183173058,0.022353822730257093,0.06075787544250488,0.04145178092716192,0.9996544996672612,1,auto,auto,
conv1,"(64, 64, 16)",65536,0.566027864181343,0.566027864181343,0.019265056639835354,0.022228586042803308,0.06049847602844238,0.02901437388403417,0.9996432517606553,1,auto,auto,auto
pad_conv2,"(34, 34, 16)",18496,0.2996898907143968,0.2996898907143968,0.01451369605153046,0.02103889198141844,0.06075787544250488,0.04145178092716191,0.9996544996672612,1,auto,,
act1,"(64, 64, 16)",65536,0.2678427499735374,0.2678427499735374,0.012531191358304383,0.01934653361231965,0.06075787544250488,0.04148204421528289,0.9996541025850707,1,auto,,
conv0,"(128, 128, 8)",131072,0.5792301590506396,0.5792301590506396,0.0117097223756365,0.011834207404778158,0.015572309494018555,0.015367681379237875,0.9998851573267623,1,auto,auto,auto
pool0,"(64, 64, 8)",32768,0.4398035821312263,0.4398035821312263,0.007548753618557669,0.009662711121910809,0.01607227325439453,0.013547641349728102,0.9999694759202964,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.4135526796165066,0.4135526796165066,0.007098185220755788,0.009369901693974116,0.01607227325439453,0.0135476413497281,0.9999694759202964,1,auto,,
act0,"(128, 128, 8)",131072,0.3430746456264211,0.3430746456264211,0.00576882787334454,0.008627312514584677,0.016367554664611816,0.014085985443091746,0.9999728322293348,1,auto,,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
