sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-3.808714628,0.021695531,0,True,0.021934340,0.021934340
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-4.664894104,0.009332333,0,True,0.009376152,0.009376152
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-0.919609487,0.285037471,0,True,0.335525144,0.335525144
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-1.017766714,0.265462646,0,True,0.308514428,0.308514428
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-1.873832107,0.133098938,0,True,0.142830424,0.142830424
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-2.383319139,0.084453572,0,True,0.088234203,0.088234203
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-4.497923851,0.011009525,0,True,0.011070579,0.011070579
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-4.290436745,0.013513816,0,True,0.013605959,0.013605959
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-2.160468817,0.103356996,0,True,0.109097485,0.109097485
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-3.244506598,0.037524788,0,True,0.038246966,0.038246966
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-3.583875179,0.027017661,0,True,0.027389348,0.027389348
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-1.352020383,0.205540260,0,True,0.230092968,0.230092968
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-4.213627815,0.014576975,0,True,0.014684263,0.014684263
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.111425400,0.107991282,0,True,0.114279373,0.114279373
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-4.745166779,0.008618684,0,True,0.008656040,0.008656040
