sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-5.527305603,0.003960938,0,True,0.003968803,0.003968803
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.172130585,0.102281238,0,True,0.107898442,0.107898442
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-1.623844147,0.164675397,0,True,0.179934884,0.179934884
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,2.257053375,0.905257211,1,False,2.356589540,2.356589540
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.811138153,0.692351985,1,False,1.178798957,1.178798957
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.584953308,0.357793636,0,True,0.442845587,0.442845587
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-4.216026306,0.014542562,0,True,0.014649341,0.014649341
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-3.581619263,0.027077027,0,True,0.027450364,0.027450364
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.004062653,0.498984338,0,True,0.691117917,0.691117917
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.869628906,0.020439616,0,True,0.020651396,0.020651396
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-5.429252625,0.004367217,0,True,0.004376781,0.004376781
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.874233246,0.133052660,0,True,0.142777042,0.142777042
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-6.328342438,0.001781810,0,True,0.001783399,0.001783399
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-3.721618652,0.023623215,0,True,0.023906717,0.023906717
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-5.357650757,0.004689864,0,True,0.004700896,0.004700896
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-3.429733276,0.031379038,0,True,0.031881908,0.031881908
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-2.227851868,0.097277115,0,True,0.102339655,0.102339655
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-3.703487396,0.024045047,0,True,0.024338848,0.024338848
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-3.575103760,0.027249200,0,True,0.027627345,0.027627345
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-2.961761475,0.049183566,0,True,0.050434259,0.050434259
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-5.316040039,0.004888156,0,True,0.004900142,0.004900142
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-5.410118103,0.004451210,0,True,0.004461146,0.004461146
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-5.841083527,0.002897274,0,True,0.002901479,0.002901479
