sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.295310974,0.091512049,0,True,0.095973654,0.095973654
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-4.325000763,0.013060701,0,True,0.013146742,0.013146742
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-1.740741730,0.149218746,0,True,0.161600229,0.161600229
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.284385681,0.429378897,0,True,0.561029858,0.561029858
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-2.097862244,0.109304773,0,True,0.115752968,0.115752968
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-0.957328796,0.277413333,0,True,0.324917912,0.324917912
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-3.177490234,0.040021648,0,True,0.040844544,0.040844544
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-4.071357727,0.016768248,0,True,0.016910427,0.016910427
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-2.296592712,0.091405545,0,True,0.095856428,0.095856428
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-2.573299408,0.070876720,0,True,0.073513847,0.073513847
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-2.516918182,0.074680630,0,True,0.077616337,0.077616337
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.682979584,0.335596615,0,True,0.408865807,0.408865807
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-3.286003113,0.036054499,0,True,0.036720520,0.036720520
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-1.855812073,0.135191936,0,True,0.145247688,0.145247688
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.186664581,0.039670654,0,True,0.040478984,0.040478984
