layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,2.4428348541259766,2.4428348541259766,0.07369422912597656,0.07369422912597656,0.0863494873046875,0.034517476676863605,0.9999999999997251,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool5,"(16, 16, 32)",8192,2.3716506958007812,2.3716506958007812,0.023082733154296875,0.05400592496131657,0.25,0.016215300602089203,0.9998712874542955,1,auto,auto,
act5,"(32, 32, 32)",32768,1.8952226638793945,1.8952226638793945,0.020145416259765625,0.050426036711418765,0.25,0.01741932809897117,0.9998514458028115,1,"ufixed<8,5,RND_CONV,SAT,0>",,
conv5,"(32, 32, 32)",32768,2.9375493302941322,2.9375493302941322,0.029108881950378418,0.03935891824880511,0.2109375,0.011255281893342324,0.999937864560988,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
gap,"(1, 1, 32)",32,2.3716506958007812,2.3716506958007812,0.02777099609375,0.034699799963903,0.07177734375,0.01266384456379508,0.9999218089430971,1,auto,auto,
pool4,"(32, 32, 32)",32768,1.0155515670776367,1.0155515670776367,0.0093231201171875,0.0341339802090525,0.125,0.024460431214185386,0.9997015836185319,1,auto,auto,
act4,"(64, 64, 32)",131072,0.8344898223876953,0.8344898223876953,0.008889436721801758,0.03333110407629464,0.125,0.0271214262969645,0.9996329251538099,1,"ufixed<8,5,RND_CONV,SAT,0>",,
pad_conv5,"(34, 34, 32)",36992,0.899588931390571,0.899588931390571,0.008258542387543253,0.0321260990202847,0.125,0.024460431214185382,0.9997015836185319,1,auto,,
conv4,"(64, 64, 32)",131072,1.023810819722712,1.023810819722712,0.012029684148728848,0.016198482650764196,0.10400390625,0.012511965243360394,0.9999222365788396,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool3,"(64, 64, 24)",98304,0.563093344370524,0.563093344370524,0.0038421948750813804,0.015495818708094824,0.0625,0.019823145509323667,0.9998036172267032,1,auto,auto,
act3,"(128, 128, 24)",393216,0.49131615956624347,0.49131615956624347,0.0036307970682779946,0.015063060538378685,0.0625,0.02107077791359379,0.9997780463151585,1,"ufixed<8,4,RND_CONV,SAT,0>",,
pad_conv4,"(66, 66, 24)",104544,0.5294835487928528,0.5294835487928528,0.0036128627659167433,0.01502624844421316,0.0625,0.019823145509323667,0.9998036172267032,1,auto,,
conv3,"(128, 128, 24)",393216,0.6198396516653398,0.6198396516653398,0.005184560703734557,0.006980858766161804,0.05322265625,0.009081044691863447,0.9999588138596383,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
pool2,"(128, 128, 24)",393216,0.3442777792612712,0.3442777792612712,0.0015413363774617512,0.006940056834384026,0.03125,0.013301322051153593,0.9999115694582521,1,auto,auto,
pad_conv3,"(130, 130, 24)",405600,0.3337661026873767,0.3337661026873767,0.0014942754561143984,0.006833286729239656,0.03125,0.013301322051153596,0.9999115694582521,1,auto,,
act2,"(256, 256, 24)",1572864,0.2973766227563222,0.2973766227563222,0.0013686716556549072,0.006539705517139956,0.03125,0.013671571234805897,0.9999065564081366,1,"ufixed<8,3,RND_CONV,SAT,0>",,
pool1,"(256, 256, 16)",1048576,0.3230164796113968,0.3230164796113968,0.0005111917853355408,0.00282606236466941,0.015625,0.005137809842291386,0.9999868006236354,1,auto,auto,
pad_conv2,"(258, 258, 16)",1065024,0.31802788305709545,0.31802788305709545,0.0005032970501134247,0.0028041549044781743,0.015625,0.005137809842291386,0.9999868006236354,1,auto,,
conv2,"(256, 256, 24)",1572864,0.3516195794412245,0.3516195794412245,0.0019094539845051866,0.00277880930078119,0.0244140625,0.0056418748464468925,0.9999840913153855,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
act1,"(512, 512, 16)",4194304,0.2775215934962034,0.2775215934962034,0.0004301955923438072,0.002592498879826195,0.03125,0.0052021921492906515,0.9999864691526094,1,"ufixed<8,2,RND_CONV,SAT,0>",,
pool0,"(512, 512, 8)",2097152,0.4530812818557024,0.4530812818557024,0.00018286705017089844,0.0016902697770542104,0.015625,0.002253725245309733,0.9999974699069426,1,auto,auto,
pad_conv1,"(514, 514, 8)",2113568,0.4495622172583281,0.4495622172583281,0.00018144672894366304,0.001683692851851665,0.015625,0.002253725245309733,0.9999974699069426,1,auto,,
conv1,"(512, 512, 16)",4194304,0.5761021711368812,0.5761021711368812,0.0008505584119120613,0.0016453184387161068,0.0186767578125,0.0022774040087194013,0.9999974117659243,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
act0,"(1024, 1024, 8)",8388608,0.3745680935680866,0.3745680935680866,0.00016341591253876686,0.0015978558009091205,0.015625,0.0024019463349804105,0.9999971480318004,1,"ufixed<8,2,RND_CONV,SAT,0>",,
pad_conv0,"(2052, 2052, 1)",4210704,0.9089026631248298,0.9089026631248298,0.00028158933465526076,0.0004750707588833279,0.000972747802734375,0.0005113669894638752,0.9999999038085053,1,auto,,
conv0,"(1024, 1024, 8)",8388608,0.521205542271029,0.521205542271029,0.0002992094048636152,0.00040262427855459516,0.0027272701263427734,0.0005707985521111878,0.9999998684245699,1,auto,auto,"fixed<8,1,TRN,WRAP,0>"
