sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-1.091915131,0.251257818,0,True,0.289360572,0.289360572
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.093265533,0.476700503,0,True,0.647601327,0.647601327
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.910385132,0.286921034,0,True,0.338163113,0.338163113
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.444149017,0.190903672,0,True,0.211837298,0.211837298
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.178882599,0.455398221,0,True,0.607700432,0.607700432
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.495208740,0.378667292,0,True,0.475888578,0.475888578
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.564247131,0.362565326,0,True,0.450303480,0.450303480
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.608608246,0.352376741,0,True,0.434446142,0.434446142
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.656711578,0.658521304,1,False,1.074469985,1.074469985
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.905738831,0.287872595,0,True,0.339498444,0.339498444
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-1.083713531,0.252803909,0,True,0.291427623,0.291427623
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.203224182,0.230902149,0,True,0.262537073,0.262537073
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.641883850,0.344820817,0,True,0.422846519,0.422846519
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.405925751,0.399889451,0,True,0.510641392,0.510641392
