sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.899131775,0.289228951,0,True,0.341404913,0.341404913
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.165607452,0.458692501,0,True,0.613767772,0.613767772
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.956359863,0.277607603,0,True,0.325186801,0.325186801
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-1.489151001,0.184049192,0,True,0.203401210,0.203401210
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.178882599,0.455398221,0,True,0.607700432,0.607700432
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.303134918,0.424791306,0,True,0.553022358,0.553022358
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.564849854,0.362426042,0,True,0.450084995,0.450084995
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.632633209,0.346913706,0,True,0.426046008,0.426046008
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.021434784,0.494641509,0,True,0.682487219,0.682487219
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.330364227,0.418152004,0,True,0.541546040,0.541546040
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.813014984,0.307248393,0,True,0.367083776,0.367083776
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-1.011737823,0.266639894,0,True,0.310118420,0.310118420
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.641883850,0.344820817,0,True,0.422846519,0.422846519
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.405925751,0.399889451,0,True,0.510641392,0.510641392
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.619094849,0.349987342,0,True,0.430763442,0.430763442
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.299507141,0.425677971,0,True,0.554565014,0.554565014
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.291267395,0.427693616,0,True,0.558080795,0.558080795
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.195968628,0.548835967,1,False,0.795924296,0.795924296
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.086765289,0.521677724,1,False,0.737470557,0.737470557
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.160129547,0.460052935,0,True,0.616284172,0.616284172
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.005668640,0.498582844,0,True,0.690316877,0.690316877
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.691455841,0.333709292,0,True,0.406029206,0.406029206
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.708904266,0.329841002,0,True,0.400240285,0.400240285
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-1.648193359,0.161353272,0,True,0.175965724,0.175965724
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.152690887,0.461901270,0,False,0.772404111,0.772404111
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,0.540592194,0.631950166,1,True,0.458944739,0.458944739
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.794101715,0.688711369,1,True,0.372933008,0.372933008
