epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_ece,val_roc_auc,val_pr_auc,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,val_benign_mean_score,val_standalone_mean_score,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_roc_auc,aug_val_pr_auc,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1,aug_val_benign_mean_score,aug_val_standalone_mean_score
1,1.1566293239593506,1.105563071949541,1.1055631033754798,2.0749859321074555,0.13614027464350376,0.39041388894766044,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.37357401847839355,0.265625,0.38390382185716077,0.8689380288124084,0.5,0.6666666666666666,0.8744261860847473,0.8727219700813293,1.1152035367484736,1.1152035307921073,2.099233172865098,0.1311738887191165,0.39248088856142455,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.37723463773727417,0.4826388888888889,0.5133792673364539,0.8802834749221802,0.5625,0.46153846153846156,0.8773934245109558,0.8770756721496582
2,1.042325496673584,0.9825170673800273,0.9825170439260834,1.7764746962539242,0.1885593915982431,0.3598540247510644,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.32946014404296875,0.2612847222222222,0.45870553939537256,0.8315538167953491,0.5416666666666666,0.3125,0.8307638168334961,0.8281562924385071,0.9944266995042637,0.994426687656624,1.8094823376798492,0.17937103763339893,0.3631041064784733,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.33599597215652466,0.4678819444444444,0.5236476615304338,0.8381505608558655,0.5625,0.5714285714285714,0.8361672759056091,0.835824728012085
3,0.990700900554657,0.9606788270857338,0.9606788407663457,1.7223942298414157,0.19896345169127583,0.3535923511589342,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.32047009468078613,0.2960069444444444,0.45435401333397146,0.8247444033622742,0.5208333333333334,0.08,0.8213561177253723,0.8195840716362,0.971634194314306,0.9716341962050984,1.7526723793848127,0.19059601302538395,0.3567231024505819,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.32654619216918945,0.4748263888888889,0.5127266506143937,0.8282453417778015,0.5625,0.5714285714285714,0.8265998363494873,0.8264923691749573
4,0.9537116885185242,0.9387517409983035,0.9387517298525984,1.6664412742493957,0.21106218545580072,0.3470266602036993,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.3104005455970764,0.37239583333333337,0.5313045258066196,0.8161134719848633,0.5625,0.2222222222222222,0.8110663294792175,0.8097348809242249,0.9461658699019342,0.9461658729918451,1.6861671897453707,0.2061645562383191,0.34924076282420785,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.31420403718948364,0.4756944444444445,0.48563445258866045,0.8153795599937439,0.6458333333333334,0.6382978723404256,0.8146927356719971,0.8137152791023254
5,0.9324528574943542,0.8609094949906041,0.8609094936967222,1.4663493380241253,0.2554696493693191,0.3212634689501779,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.2718837857246399,0.8307291666666666,0.8162300921267387,0.7713271379470825,0.7916666666666666,0.8,0.7692039608955383,0.7745635509490967,0.8567181894396464,0.8567181964593705,1.455913828295448,0.25752256462329304,0.3197641443010217,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.2698795199394226,0.8506944444444444,0.8512574083466027,0.7697732448577881,0.8333333333333334,0.8333333333333334,0.7667816281318665,0.7729774117469788
6,0.8233609795570374,0.8076699606949127,0.8076699446648393,1.3039661174353003,0.31137377189437815,0.3011789617167726,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.23048734664916992,0.7838541666666666,0.8038959131350435,0.7310585975646973,0.7708333333333334,0.7659574468085106,0.7285258769989014,0.7324488759040833,0.8043059725646854,0.8043059643491602,1.2932824839541956,0.31532944474412455,0.2998400466315174,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.22758722305297852,0.7777777777777777,0.7876900526272991,0.7283620238304138,0.75,0.7272727272727273,0.7256128191947937,0.7295616269111633
7,0.782878577709198,0.7748169704401923,0.7748169773395767,1.1953853918771598,0.3542485628019935,0.28768600698836194,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.3554717699686686,0.8706597222222223,0.9041152446305956,0.6994597315788269,0.8333333333333334,0.8181818181818182,0.6974098682403564,0.7017094492912292,0.7744683993584554,0.774468387052527,1.1890785102443668,0.3598582638606868,0.28753104612948627,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.24111746127406755,0.6189236111111112,0.688667140276459,0.7021217346191406,0.625,0.4,0.6954866051673889,0.6977922320365906
8,0.7709930539131165,0.773737132454941,0.7737371283822162,1.1925520792663205,0.3549221774981122,0.28722860840076087,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.3716238352159659,0.8654513888888888,0.8961118877674729,0.6988435387611389,0.8333333333333334,0.8181818181818182,0.6965494155883789,0.7012386322021484,0.7737329933338392,0.7737329930528922,1.1858882323148905,0.3615777537908938,0.287217232185008,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.2402516019841035,0.592013888888889,0.6655570565549984,0.7017130851745605,0.625,0.4,0.6945099830627441,0.6965956091880798
9,0.7694023251533508,0.7679726459007065,0.7679726606162705,1.1664521578549856,0.36949316337755533,0.28475157804825263,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.1898077130317688,0.9522569444444445,0.9433553972790786,0.6897237300872803,0.875,0.8695652173913043,0.6885290145874023,0.6910865902900696,0.7681042034825426,0.7681042216810529,1.1653318576174239,0.3708765857446821,0.28480666372666225,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.18915528059005737,0.8871527777777777,0.8750484675955533,0.688258945941925,0.7916666666666666,0.8214285714285714,0.6881797909736633,0.690130889415741
10,0.7622590661048889,0.7581928646881141,0.7581928718558556,1.139282319386199,0.3771034243255122,0.2805165158716621,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.18290209770202637,0.9340277777777778,0.9373405020363176,0.6821504235267639,0.8541666666666666,0.851063829787234,0.679947555065155,0.6858567595481873,0.7597702298143508,0.7597702259087361,1.140224683996289,0.379315767821183,0.2811979538076279,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.18229389190673828,0.8576388888888888,0.8744298781424834,0.681090772151947,0.8125,0.8235294117647058,0.680247962474823,0.6843398213386536
11,0.7516999244689941,0.6964192340156415,0.696419239532851,0.8764203854752735,0.5164180935904287,0.2517219883119066,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.23843762837350368,0.9791666666666666,0.9827777777777778,0.5886526703834534,0.9583333333333334,0.9565217391304348,0.5837266445159912,0.5966964960098267,0.6977503795704614,0.6977503763570191,0.8741555158981086,0.5213452368159296,0.2523573737444893,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.18716207519173622,0.947048611111111,0.9497196739750902,0.5860491394996643,0.8958333333333334,0.8979591836734694,0.5827748775482178,0.5937651991844177
12,0.6914011240005493,0.6824913074925426,0.6824913001118166,0.763109046821136,0.6018735534024972,0.24471763938381944,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.04080885648727417,0.9765625000000001,0.9818126550463506,0.5367985963821411,0.9583333333333334,0.9583333333333334,0.5337818264961243,0.5478360056877136,0.6829296152504821,0.6829296045635012,0.7595610397954632,0.6062981693315389,0.2449312402578463,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.0387725830078125,0.9756944444444445,0.972592637105694,0.5350984334945679,0.9375,0.9387755102040817,0.5321202278137207,0.5454248785972595
13,0.6853295564651489,0.6809764311612124,0.6809764226852141,0.7662424671881553,0.595710378182273,0.24397233417286848,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.043234050273895264,0.9696180555555556,0.9774904214559388,0.541166365146637,0.9583333333333334,0.9565217391304348,0.535239577293396,0.5512285232543945,0.6818042269226949,0.6818042192652599,0.7631044263620206,0.6005040121684994,0.2443771559284862,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.041180551052093506,0.9791666666666666,0.9765611564124991,0.5389832258224487,0.9583333333333334,0.9583333333333334,0.5337705016136169,0.5485906004905701
14,0.6827869415283203,0.6759313966796169,0.6759313975843676,0.8638905771574361,0.48797221801129903,0.24188985029573287,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.3715078855554263,0.9609375,0.9655212734541818,0.5940803289413452,0.8958333333333334,0.8936170212765957,0.5783397555351257,0.6140685677528381,0.6769815246896996,0.6769815285122233,0.863268251436833,0.4906948055876133,0.24238408032861739,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.35540538871039945,0.9678819444444444,0.9656405329951285,0.5858121514320374,0.9166666666666666,0.9230769230769231,0.5780969262123108,0.6123868823051453
15,0.6826055645942688,0.6713566632914677,0.6713566618929171,0.8041021398006877,0.5386111839851463,0.2393793111836006,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.11708546988666058,0.9609375,0.9688783438783437,0.5748721957206726,0.9166666666666666,0.9090909090909091,0.552471935749054,0.583785355091095,0.6731476426582446,0.6731476529303849,0.8035089306773826,0.5427863751833873,0.24023752720478808,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.09956176578998566,0.984375,0.9843232401656313,0.5631377100944519,0.9583333333333334,0.9583333333333334,0.552211344242096,0.5812891125679016
