sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-0.588867188,0.356894816,0,True,0.441446985,0.441446985
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.296875000,0.426321593,0,True,0.555686305,0.555686305
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-0.281250000,0.430147349,0,True,0.562377458,0.562377458
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-0.665039062,0.339608566,0,True,0.414922538,0.414922538
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-0.173828125,0.456652065,0,True,0.610005399,0.610005399
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-0.364257812,0.409929262,0,True,0.527512854,0.527512854
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-0.550781250,0.365683172,0,True,0.455206721,0.455206721
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-0.529296875,0.370680896,0,True,0.463116831,0.463116831
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.250000000,0.437823499,0,True,0.575939420,0.575939420
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-0.389648438,0.403801935,0,True,0.517182343,0.517182343
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.452148438,0.388850077,0,True,0.492412977,0.492412977
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-0.511718750,0.374790697,0,True,0.469668800,0.469668800
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.472656250,0.383987738,0,True,0.484488410,0.484488410
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.196289062,0.451084690,0,True,0.599811112,0.599811112
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-0.563476562,0.362743432,0,True,0.450582930,0.450582930
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,0.360351562,0.589125535,1,False,0.889467549,0.889467549
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,0.265625000,0.566018535,1,False,0.834753454,0.834753454
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,0.381835938,0.594315832,1,False,0.902180334,0.902180334
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.387695312,0.595727770,1,False,0.905666791,0.905666791
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.357421875,0.588416200,1,False,0.887742634,0.887742634
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,0.285156250,0.570809891,1,False,0.845855315,0.845855315
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-0.009765625,0.497558613,0,True,0.688276289,0.688276289
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.014648438,0.496337956,0,True,0.685849784,0.685849784
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.439453125,0.391871286,0,True,0.497368719,0.497368719
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.259765625,0.435421324,0,False,0.831441157,0.831441157
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,-0.303710938,0.424650565,0,False,0.856488648,0.856488648
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,0.293945312,0.572961735,1,True,0.556936344,0.556936344
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.358398438,0.411347314,0,False,0.888317374,0.888317374
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,0.149414062,0.537284179,1,True,0.621228128,0.621228128
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,0.354492188,0.587706497,1,True,0.531527610,0.531527610
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,0.377929688,0.593373672,1,True,0.521930940,0.521930940
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,-0.543945312,0.367270280,0,False,1.001657244,1.001657244
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,-0.215820312,0.446253379,0,False,0.806868373,0.806868373
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,-0.204101562,0.449151007,0,False,0.800396130,0.800396130
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,-0.049804688,0.487551401,0,False,0.718359556,0.718359556
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,0.416992188,0.602763283,1,True,0.506230725,0.506230725
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,0.376953125,0.593138024,1,True,0.522328151,0.522328151
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,0.424804688,0.604632396,1,True,0.503134616,0.503134616
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,0.052734375,0.513180539,1,True,0.667127567,0.667127567
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,0.265625000,0.566018535,1,True,0.569128454,0.569128454
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,0.178710938,0.544559205,1,True,0.607778610,0.607778610
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,0.152343750,0.538012448,1,True,0.619873582,0.619873582
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,0.456054688,0.612077822,1,True,0.490895844,0.490895844
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,0.500000000,0.622459331,1,True,0.474076984,0.474076984
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,0.427734375,0.605332529,1,True,0.501977338,0.501977338
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,0.452148438,0.611149923,1,True,0.492412977,0.492412977
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,-0.093750000,0.476579651,0,False,0.741120411,0.741120411
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,-0.030273438,0.492432219,0,False,0.708398455,0.708398455
