sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.062500000,0.515619916,1,False,0.724885382,0.724885382,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.058593750,0.514644248,1,False,0.722873148,0.722873148,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.052734375,0.513180539,1,False,0.719861942,0.719861942,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.052734375,0.513180539,1,False,0.719861942,0.719861942,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.055664062,0.513912424,1,False,0.721366473,0.721366473,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.060546875,0.515132096,1,False,0.723878789,0.723878789,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.060546875,0.515132096,1,False,0.723878789,0.723878789,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.050781250,0.512692585,1,False,0.718860113,0.718860113,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.049804688,0.512448599,1,False,0.718359556,0.718359556,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.053710938,0.513424507,1,False,0.720363214,0.720363214,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.066406250,0.516595464,1,False,0.726901428,0.726901428,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.056640625,0.514156372,1,False,0.721868460,0.721868460,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.054687500,0.513668469,1,False,0.720864724,0.720864724,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.057617188,0.514400313,1,False,0.722370684,0.722370684,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.053710938,0.513424507,1,False,0.720363214,0.720363214,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.050781250,0.512692585,1,False,0.718860113,0.718860113,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.066406250,0.516595464,1,False,0.726901428,0.726901428,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.053710938,0.513424507,1,False,0.720363214,0.720363214,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.052734375,0.513180539,1,False,0.719861942,0.719861942,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.078125000,0.519521322,1,False,0.732972426,0.732972426,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.065429688,0.516351589,1,False,0.726397059,0.726397059,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.058593750,0.514644248,1,False,0.722873148,0.722873148,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.062500000,0.515619916,1,True,0.662385382,0.662385382,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.065429688,0.516351589,1,True,0.660967372,0.660967372,0
