sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.151367188,0.462230291,0,True,0.620324860,0.620324860
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-0.657226562,0.341362901,0,True,0.417582580,0.417582580
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.225585938,0.443841468,0,True,0.586701896,0.586701896
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-0.403320312,0.400514861,0,True,0.511684094,0.511684094
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.402832031,0.400632105,0,True,0.511879687,0.511879687
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-0.514648438,0.374104457,0,True,0.468571786,0.468571786
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-0.196777344,0.450963791,0,True,0.599590885,0.599590885
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-0.417968750,0.397002912,0,True,0.505842912,0.505842912
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-0.809082031,0.308086144,0,True,0.368293816,0.368293816
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.236816406,0.441071046,0,True,0.581732908,0.581732908
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-0.562011719,0.363082115,0,True,0.451114540,0.451114540
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.493652344,0.379033547,0,True,0.476478219,0.476478219
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.350097656,0.413358740,0,True,0.533341787,0.533341787
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-0.348632812,0.413714000,0,True,0.533947553,0.533947553
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.091308594,0.477188698,0,True,0.648534679,0.648534679
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-0.550292969,0.365796441,0,True,0.455385305,0.455385305
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.434082031,0.393152003,0,True,0.499476935,0.499476935
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-0.604003906,0.353428198,0,True,0.436071025,0.436071025
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-0.178710938,0.455440795,0,True,0.607778610,0.607778610
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-0.250976562,0.437583148,0,True,0.575511975,0.575511975
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-0.548828125,0.366136336,0,True,0.455921388,0.455921388
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-0.620117188,0.349754799,0,True,0.430405756,0.430405756
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-0.391113281,0.403449330,0,True,0.516591095,0.516591095
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-0.871093750,0.295026766,0,True,0.349595443,0.349595443
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-0.109863281,0.472561772,0,False,0.749586806,0.749586806
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,0.446289062,0.609756564,1,True,0.494695477,0.494695477
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,0.204589844,0.550969798,1,True,0.596075285,0.596075285
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.196289062,0.548915310,1,True,0.599811112,0.599811112
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.150390625,0.537526953,1,True,0.620776375,0.620776375
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.266113281,0.566138473,1,True,0.568916578,0.568916578
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.016113281,0.495971767,0,False,0.701236276,0.701236276
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.046386719,0.488405399,0,False,0.716609482,0.716609482
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,0.549316406,0.633976977,1,True,0.455742638,0.455742638
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,0.507324219,0.624179000,1,True,0.471318093,0.471318093
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.043457031,0.510862548,1,True,0.671654711,0.671654711
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.149902344,0.537405568,1,True,0.621002222,0.621002222
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.147460938,0.536798577,1,True,0.622132344,0.622132344
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,0.090332031,0.522567664,1,True,0.649000803,0.649000803
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,0.210449219,0.552418983,1,True,0.593448494,0.593448494
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,0.127441406,0.531817300,1,True,0.631455269,0.631455269
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,0.222167969,0.555314658,1,True,0.588220375,0.588220375
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,0.055664062,0.513912424,1,True,0.665702410,0.665702410
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,0.383300781,0.594668964,1,True,0.519750391,0.519750391
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,0.596191406,0.644784477,1,True,0.438839162,0.438839162
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,0.657714844,0.658746873,1,True,0.417415926,0.417415926
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,0.089355469,0.522324016,1,True,0.649467164,0.649467164
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,0.537109375,0.631139729,1,True,0.460228001,0.460228001
