sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.416015625,0.081959550,0,True,0.085513826,0.085513826
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.748046875,0.321247026,0,True,0.387498026,0.387498026
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.428466797,0.394492506,0,True,0.501688339,0.501688339
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,0.683105469,0.664431453,1,False,1.091929031,1.091929031
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.089355469,0.477675984,0,True,0.649467164,0.649467164
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.858886719,0.297571994,0,True,0.353212366,0.353212366
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-1.267822266,0.219630272,0,True,0.247987462,0.247987462
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.953369141,0.124186452,0,True,0.132602056,0.132602056
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.232177734,0.442214916,0,True,0.583781545,0.583781545
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-2.025878906,0.116512466,0,True,0.123878098,0.123878098
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-2.226562500,0.097390398,0,True,0.102465154,0.102465154
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.252441406,0.222277806,0,True,0.251385895,0.251385895
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-2.831054688,0.055668927,0,True,0.057278462,0.057278462
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.387451172,0.199814975,0,True,0.222912296,0.222912296
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-2.492431641,0.076390456,0,True,0.079465868,0.079465868
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-1.343261719,0.206974182,0,True,0.231899500,0.231899500
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.043212891,0.260530540,0,True,0.301822296,0.301822296
