sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.664688110,0.339687280,0,True,0.415041738,0.415041738
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-5.166130066,0.005674230,0,True,0.005690389,0.005690389
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.613609314,0.166088111,0,True,0.181627530,0.181627530
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-3.289764404,0.035924004,0,True,0.036585154,0.036585154
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-3.019611359,0.046547720,0,True,0.047665902,0.047665902
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.226882935,0.038166509,0,True,0.038913930,0.038913930
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.467727661,0.187288244,0,True,0.207378776,0.207378776
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.952575684,0.049614919,0,True,0.050888028,0.050888028
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-4.739639282,0.008666042,0,True,0.008703811,0.008703811
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-2.060871124,0.112958515,0,True,0.119863528,0.119863528
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-4.705032349,0.008968460,0,True,0.009008919,0.009008919
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-3.281753540,0.036202482,0,True,0.036874050,0.036874050
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.353336334,0.086800948,0,True,0.090801402,0.090801402
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.401863098,0.083030736,0,True,0.086681326,0.086681326
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.334178925,0.417224175,0,True,0.539952687,0.539952687
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-2.924724579,0.050944785,0,True,0.052288300,0.052288300
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-2.630023956,0.067230948,0,True,0.069597642,0.069597642
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.736591339,0.060848403,0,True,0.062778368,0.062778368
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-2.829460144,0.055752812,0,True,0.057367295,0.057367295
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-2.273231506,0.093364314,0,True,0.098014579,0.098014579
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-4.063800812,0.016893296,0,True,0.017037615,0.017037615
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-4.187587738,0.014955794,0,True,0.015068760,0.015068760
