sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-4.371585846,0.012473637,0,True,0.012552085,0.012552085
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-1.990520477,0.120201809,0,True,0.128062727,0.128062727
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-3.743190765,0.023130731,0,True,0.023402444,0.023402444
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-6.021373749,0.002420461,0,True,0.002423395,0.002423395
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-2.742065430,0.060536332,0,True,0.062446133,0.062446133
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-4.333656311,0.012949599,0,True,0.013034176,0.013034176
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-3.701286316,0.024096754,0,True,0.024391830,0.024391830
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-3.571903229,0.027334164,0,True,0.027714693,0.027714693
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,1.627754211,0.835861756,1,False,1.807046255,1.807046255
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-3.698711395,0.024157380,0,True,0.024453956,0.024453956
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-3.643001556,0.025506077,0,True,0.025836996,0.025836996
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-4.728149414,0.008765310,0,True,0.008803952,0.008803952
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-4.818668365,0.008012813,0,True,0.008045088,0.008045088
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.830974579,0.055673139,0,True,0.057282921,0.057282921
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-5.006660461,0.006648717,0,True,0.006670918,0.006670918
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-3.447349548,0.030848000,0,True,0.031333817,0.031333817
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-3.810340881,0.021661041,0,True,0.021899085,0.021899085
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.598693848,0.168164247,0,True,0.184120270,0.184120270
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,0.687011719,0.665301839,1,False,1.094526166,1.094526166
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-4.050071716,0.017122826,0,True,0.017271117,0.017271117
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.281101227,0.430183816,0,True,0.562441455,0.562441455
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.596508026,0.069363496,0,True,0.071886514,0.071886514
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-3.679077148,0.024624584,0,True,0.024932840,0.024932840
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-7.459693909,0.000575501,0,True,0.000575667,0.000575667
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,-0.471778870,0.384195296,0,False,0.956604274,0.956604274
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,4.543869019,0.989479663,1,True,0.010576066,0.010576066
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,5.503479004,0.995943940,1,True,0.004064308,0.004064308
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,-0.493583679,0.379049709,0,False,0.970087925,0.970087925
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,4.262981415,0.986115240,1,True,0.013982055,0.013982055
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,3.716533661,0.976259214,1,True,0.024027139,0.024027139
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,4.272022247,0.986238485,1,True,0.013857083,0.013857083
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,-0.685112000,0.335121314,0,False,1.093262681,1.093262681
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,3.639659882,0.974410732,1,True,0.025922368,0.025922368
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,3.782299042,0.977736661,1,True,0.022514908,0.022514908
