sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-4.367214203,0.012527602,0,True,0.012606734,0.012606734
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-2.225391388,0.097493394,0,True,0.102579269,0.102579269
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-3.797119141,0.021943013,0,True,0.022187342,0.022187342
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-6.100852966,0.002235945,0,True,0.002238448,0.002238448
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-2.742065430,0.060536332,0,True,0.062446133,0.062446133
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-2.544757843,0.072779448,0,True,0.075563822,0.075563822
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-3.116924286,0.042414518,0,True,0.043340286,0.043340286
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-3.562053680,0.027597257,0,True,0.027985216,0.027985216
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-0.722164154,0.326916600,0,True,0.395886034,0.395886034
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-2.147594452,0.104556227,0,True,0.110435847,0.110435847
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-3.808315277,0.021704009,0,True,0.021943006,0.021943006
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-4.291675568,0.013497311,0,True,0.013589228,0.013589228
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-4.818668365,0.008012813,0,True,0.008045088,0.008045088
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.830974579,0.055673139,0,True,0.057282921,0.057282921
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-3.580936432,0.027095021,0,True,0.027468859,0.027468859
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-3.568855286,0.027415317,0,True,0.027798129,0.027798129
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-3.810340881,0.021661041,0,True,0.021899085,0.021899085
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.433494568,0.192554774,0,True,0.213880058,0.213880058
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-1.177669525,0.235471481,0,True,0.268495950,0.268495950
