sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-4.192182541,0.014888253,0,True,0.015000196,0.015000196
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-6.860877991,0.001046896,0,True,0.001047445,0.001047445
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-4.370022774,0.012492905,0,True,0.012571598,0.012571598
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-6.230075836,0.001965432,0,True,0.001967366,0.001967366
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-5.285398006,0.005039491,0,True,0.005052232,0.005052232
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-6.226059437,0.001973326,0,True,0.001975276,0.001975276
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-4.370986462,0.012481022,0,True,0.012559564,0.012559564
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-3.016177654,0.046700349,0,True,0.047825995,0.047825995
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-6.855223179,0.001052827,0,True,0.001053381,0.001053381
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-3.099426746,0.043130907,0,True,0.044088686,0.044088686
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-7.197459698,0.000747925,0,True,0.000748205,0.000748205
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-7.703566074,0.000451012,0,True,0.000451113,0.000451113
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-7.268846989,0.000696430,0,True,0.000696672,0.000696672
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-7.212932110,0.000736450,0,True,0.000736722,0.000736722
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-2.679440737,0.064197467,0,True,0.066350793,0.066350793
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-7.668238640,0.000467222,0,True,0.000467331,0.000467331
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-5.555262089,0.003852158,0,True,0.003859597,0.003859597
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-7.126876354,0.000802580,0,True,0.000802902,0.000802902
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-5.421034336,0.004403097,0,True,0.004412819,0.004412819
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-4.707928658,0.008942754,0,True,0.008982981,0.008982981
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-7.940048695,0.000356062,0,True,0.000356126,0.000356126
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-8.439640045,0.000216081,0,True,0.000216105,0.000216105
