sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.249951601,0.095353640,0,True,0.100211174,0.100211174
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-3.848203182,0.020873035,0,True,0.021093957,0.021093957
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.980579317,0.272776850,0,True,0.318521902,0.318521902
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,2.886843920,0.947192240,1,False,2.941097127,2.941097127
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.688474000,0.334372626,0,True,0.407025263,0.407025263
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,0.288271725,0.571572970,1,False,0.847634847,0.847634847
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-4.178726673,0.015086899,0,True,0.015201864,0.015201864
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.406594157,0.196771803,0,True,0.219116425,0.219116425
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-1.088740468,0.251855531,0,True,0.290159179,0.290159179
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-2.241850138,0.096054777,0,True,0.100986515,0.100986515
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-4.384214878,0.012319026,0,True,0.012395534,0.012395534
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.139715850,0.465127746,0,True,0.625727338,0.625727338
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-0.306252599,0.424029700,0,True,0.551699181,0.551699181
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-3.529140234,0.028494378,0,True,0.028908224,0.028908224
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-2.279743195,0.092814574,0,True,0.097408411,0.097408411
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-1.476618171,0.185938768,0,True,0.205719692,0.205719692
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-1.792491794,0.142767494,0,True,0.154046095,0.154046095
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-2.945235729,0.049962168,0,True,0.051253472,0.051253472
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-1.124808431,0.245120459,0,True,0.281197090,0.281197090
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-2.093261957,0.109753450,0,True,0.116256832,0.116256832
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.853693306,0.298658677,0,True,0.354760601,0.354760601
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-3.724800825,0.023549929,0,True,0.023831660,0.023831660
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-3.406112909,0.032104966,0,True,0.032631634,0.032631634
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-4.051007271,0.017107088,0,True,0.017255105,0.017255105
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,2.162050009,0.896789448,1,True,0.108934174,0.108934174
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,2.050924301,0.886040981,1,True,0.120992076,0.120992076
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,-0.890628874,0.290980067,0,False,1.234500513,1.234500513
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,1.556736708,0.825884593,1,True,0.191300233,0.191300233
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,-1.860978007,0.134589098,0,False,2.005528861,2.005528861
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,3.921441317,0.980572392,1,True,0.019618805,0.019618805
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,1.624104857,0.835360462,1,True,0.179891956,0.179891956
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,1.488164306,0.815802585,1,True,0.203582883,0.203582883
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,2.879788399,0.946838214,1,True,0.054627041,0.054627041
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,5.234651089,0.994699561,1,True,0.005314536,0.005314536
