sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-1.728426576,0.150788949,0,True,0.163447535,0.163447535
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.290543318,0.035897038,0,True,0.036557183,0.036557183
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-1.945076942,0.125091160,0,True,0.133635581,0.133635581
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-2.654732227,0.065697940,0,True,0.067955488,0.067955488
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.350901127,0.086994173,0,True,0.091013016,0.091013016
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-2.334604979,0.088297255,0,True,0.092441280,0.092441280
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.575253725,0.171468721,0,True,0.188100689,0.188100689
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-2.559725046,0.071775859,0,True,0.074482044,0.074482044
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-3.485390902,0.029730774,0,True,0.030181694,0.030181694
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-2.249341726,0.095406261,0,True,0.100269344,0.100269344
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-3.348614931,0.033940549,0,True,0.034529904,0.034529904
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-2.974833250,0.048575860,0,True,0.049795323,0.049795323
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-2.256994009,0.094747881,0,True,0.099541790,0.099541790
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-2.234066248,0.096732767,0,True,0.101736831,0.101736831
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-0.784882724,0.313268502,0,True,0.375811896,0.375811896
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-2.095847845,0.109501044,0,True,0.115973349,0.115973349
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-1.415112019,0.195429009,0,True,0.217446074,0.217446074
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-2.762520075,0.059383446,0,True,0.061219710,0.061219710
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-2.020788670,0.117037465,0,True,0.124472509,0.124472509
19,it2_B058,multithreading_aes_nodbg,0,benign,0,config_058/vfpga_c058_0.bin,-2.663308382,0.065173477,0,True,0.067394304,0.067394304
20,it2_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-3.412365675,0.031911234,0,True,0.032431495,0.032431495
21,it2_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-3.728907824,0.023455672,0,True,0.023735134,0.023735134
22,it2_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-2.661110163,0.065307534,0,True,0.067537717,0.067537717
23,it2_B071,user_interrupts_nodbg,0,benign,0,config_071/vfpga_c071_0.bin,-4.108024597,0.016174309,0,True,0.016306541,0.016306541
24,it1_S006,ro_8192,1,standalone,8192,config_081/vfpga_c081_0.bin,-1.464766026,0.187739456,0,False,1.672700149,1.672700149
25,it1_S011,ro_18000,1,standalone,18000,config_086/vfpga_c086_0.bin,1.332039595,0.791177808,1,True,0.234232548,0.234232548
26,it1_S023,ro_12000,1,standalone,12000,config_098/vfpga_c098_0.bin,-0.252506077,0.437206765,0,False,0.827349050,0.827349050
27,it1_S024,ro_14000,1,standalone,14000,config_099/vfpga_c099_0.bin,0.351490080,0.586978873,1,True,0.532766452,0.532766452
28,it1_S038,ro_12000,1,standalone,12000,config_113/vfpga_c113_0.bin,0.718054712,0.672178508,1,True,0.397231337,0.397231337
29,it1_S054,ro_14000,1,standalone,14000,config_129/vfpga_c129_0.bin,0.115139425,0.528753098,1,True,0.637233689,0.637233689
30,it1_S067,ro_10000,1,standalone,10000,config_142/vfpga_c142_0.bin,-0.419131100,0.396724689,0,False,0.924512718,0.924512718
31,it1_S068,ro_12000,1,standalone,12000,config_143/vfpga_c143_0.bin,-0.197240293,0.450849169,0,False,0.796622431,0.796622431
32,it1_S072,ro_19000,1,standalone,19000,config_147/vfpga_c147_0.bin,2.264736652,0.905914131,1,True,0.098810756,0.098810756
33,it1_S073,ro_20000,1,standalone,20000,config_148/vfpga_c148_0.bin,2.149843931,0.895654192,1,True,0.110200887,0.110200887
34,it2_S000,ro_8000,1,standalone,8000,config_075/vfpga_c075_0.bin,0.060307920,0.515072412,1,True,0.663447782,0.663447782
35,it2_S004,ro_12000,1,standalone,12000,config_079/vfpga_c079_0.bin,0.526714981,0.628716608,1,True,0.464074668,0.464074668
36,it2_S006,ro_14000,1,standalone,14000,config_081/vfpga_c081_0.bin,0.854717672,0.701555844,1,True,0.354454775,0.354454775
37,it2_S016,ro_9000,1,standalone,9000,config_091/vfpga_c091_0.bin,0.508521736,0.624459871,1,True,0.470868209,0.470868209
38,it2_S024,ro_17000,1,standalone,17000,config_099/vfpga_c099_0.bin,1.666044593,0.841047750,1,True,0.173106843,0.173106843
39,it2_S040,ro_18000,1,standalone,18000,config_115/vfpga_c115_0.bin,1.657865286,0.839951235,1,True,0.174411443,0.174411443
40,it2_S043,ro_21000,1,standalone,21000,config_118/vfpga_c118_0.bin,2.802353144,0.942802851,1,True,0.058898084,0.058898084
41,it2_S048,ro_11000,1,standalone,11000,config_123/vfpga_c123_0.bin,-0.327044547,0.418959904,0,False,0.869980059,0.869980059
42,it2_S052,ro_15000,1,standalone,15000,config_127/vfpga_c127_0.bin,1.456424475,0.810985198,1,True,0.209505476,0.209505476
43,it2_S057,ro_20000,1,standalone,20000,config_132/vfpga_c132_0.bin,2.765183687,0.940765161,1,True,0.061061733,0.061061733
44,it2_S058,ro_21000,1,standalone,21000,config_133/vfpga_c133_0.bin,3.255921841,0.962885324,1,True,0.037820957,0.037820957
45,it2_S062,ro_10000,1,standalone,10000,config_137/vfpga_c137_0.bin,-0.643856227,0.344375355,0,False,1.066023069,1.066023069
46,it2_S070,ro_18000,1,standalone,18000,config_145/vfpga_c145_0.bin,1.277363539,0.782000658,1,True,0.245899697,0.245899697
