sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-5.345454216,0.004747141,0,True,0.004758445,0.004758445
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-5.288516045,0.005023881,0,True,0.005036543,0.005036543
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.920614243,0.007241822,0,True,0.007268172,0.007268172
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-5.524649620,0.003971430,0,True,0.003979337,0.003979337
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-4.436523438,0.011698543,0,True,0.011767510,0.011767510
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-4.668523788,0.009298835,0,True,0.009342339,0.009342339
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-4.710434914,0.008920569,0,True,0.008960596,0.008960596
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-5.300148010,0.004966070,0,True,0.004978442,0.004978442
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-4.967490196,0.006912481,0,True,0.006936483,0.006936483
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-4.795298576,0.008200722,0,True,0.008234533,0.008234533
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-5.124472618,0.005914169,0,True,0.005931727,0.005931727
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-5.291271210,0.005010127,0,True,0.005022720,0.005022720
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-4.926582336,0.007199041,0,True,0.007225079,0.007225079
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-5.314743996,0.004894464,0,True,0.004906481,0.004906481
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-4.551903725,0.010437026,0,True,0.010491874,0.010491874
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-5.005378723,0.006657188,0,True,0.006679445,0.006679445
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-5.380155563,0.004585977,0,True,0.004596525,0.004596525
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-5.000441551,0.006689916,0,True,0.006712394,0.006712394
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-5.951226234,0.002595891,0,True,0.002599266,0.002599266
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-5.764653206,0.003126676,0,True,0.003131574,0.003131574
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-6.572870255,0.001395829,0,True,0.001396804,0.001396804
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-5.684020042,0.003388343,0,True,0.003394097,0.003394097
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-5.184941292,0.005569077,0,True,0.005584642,0.005584642
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-4.467513084,0.011345620,0,True,0.011410472,0.011410472
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,-3.966030121,0.018596138,0,False,3.984801341,3.984801341
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,-1.814485550,0.140096880,0,False,1.965421097,1.965421097
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.756072998,0.680500533,1,True,0.384926674,0.384926674
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,-3.475947380,0.030004403,0,False,3.506411127,3.506411127
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,-2.525901794,0.074062199,0,False,2.602850011,2.602850011
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,-2.834145546,0.055506664,0,False,2.891252194,2.891252194
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,-1.973546028,0.122008518,0,False,2.103664415,2.103664415
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,-2.816824913,0.056421732,0,False,2.874900876,2.874900876
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,-2.485144615,0.076906182,0,False,2.565169020,2.565169020
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,-2.568622589,0.071185322,0,False,2.642468635,2.642468635
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,-1.055469513,0.258176188,0,False,1.354113027,1.354113027
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,-3.600964546,0.026572033,0,False,3.627895997,3.627895997
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,-3.129009247,0.041926386,0,False,3.171839910,3.171839910
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,-5.286612511,0.005033405,0,False,5.291658626,5.291658626
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,-3.903722763,0.019768040,0,False,3.923688804,3.923688804
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,-1.661190987,0.159602186,0,False,1.835070898,1.835070898
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,-3.772103310,0.022486361,0,False,3.794846344,3.794846344
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,-2.916808128,0.051328904,0,False,2.969501249,2.969501249
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,-4.523736954,0.010731983,0,False,4.534526940,4.534526940
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,-4.212952614,0.014586677,0,False,4.227646722,4.227646722
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,-3.741985321,0.023157984,0,False,3.765415665,3.765415665
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,-1.687784195,0.156067462,0,False,1.857466914,1.857466914
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.241579056,0.560102746,1,True,0.579635037,0.579635037
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,1.018848419,0.734748225,1,True,0.308227390,0.308227390
