sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.957654715,0.049375973,0,True,0.050636639,0.050636639
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-6.105237961,0.002226183,0,True,0.002228665,0.002228665
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-3.379768610,0.032933764,0,True,0.033488289,0.033488289
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.091598026,0.477116491,0,True,0.648396576,0.648396576
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-5.129790306,0.005882987,0,True,0.005900360,0.005900360
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-2.681067944,0.064099780,0,True,0.066246410,0.066246410
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-4.461364746,0.011414792,0,True,0.011480441,0.011480441
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-4.158828735,0.015385439,0,True,0.015505023,0.015505023
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-3.014220953,0.046787537,0,True,0.047917459,0.047917459
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-3.786955357,0.022162207,0,True,0.022411478,0.022411478
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-1.818406463,0.139625195,0,True,0.150387165,0.150387165
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,0.103285082,0.525798340,1,False,0.746122605,0.746122605
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-4.681350708,0.009181410,0,True,0.009223819,0.009223819
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.296259403,0.091433230,0,True,0.095886899,0.095886899
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-4.297546387,0.013419363,0,True,0.013510217,0.013510217
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-3.011380434,0.046914383,0,True,0.048050540,0.048050540
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-3.341545343,0.034173116,0,True,0.034770670,0.034770670
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-5.565993786,0.003811196,0,True,0.003818477,0.003818477
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-4.508335114,0.010896740,0,True,0.010956544,0.010956544
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-2.847737312,0.054798396,0,True,0.056357037,0.056357037
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-6.103923321,0.002229105,0,True,0.002231594,0.002231594
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-6.638009071,0.001307919,0,True,0.001308775,0.001308775
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-5.280321121,0.005065011,0,True,0.005077881,0.005077881
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,8.760860443,0.999843275,1,True,0.000156737,0.000156737
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,-1.117314696,0.246509719,0,False,1.400353856,1.400353856
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,5.807712555,0.997004704,1,True,0.002999791,0.002999791
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,3.563803673,0.972449666,1,True,0.027936962,0.027936962
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,3.338351965,0.965721328,1,True,0.034879967,0.034879967
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,4.703433990,0.991017322,1,True,0.009023265,0.009023265
29,it1_S052,ro_10000,1,standalone,10000,config_127/vfpga_c127_0.bin,5.820197105,0.997041757,1,True,0.002962627,0.002962627
30,it1_S056,ro_18000,1,standalone,18000,config_131/vfpga_c131_0.bin,3.227514982,0.961856686,1,True,0.038889814,0.038889814
31,it1_S058,ro_20000,1,standalone,20000,config_133/vfpga_c133_0.bin,7.092057705,0.999169007,1,True,0.000831339,0.000831339
32,it1_S071,ro_18000,1,standalone,18000,config_146/vfpga_c146_0.bin,4.132016659,0.984203070,1,True,0.015923031,0.015923031
33,it2_S002,ro_10000,1,standalone,10000,config_077/vfpga_c077_0.bin,4.265436649,0.986148817,1,True,0.013948005,0.013948005
34,it2_S003,ro_11000,1,standalone,11000,config_078/vfpga_c078_0.bin,3.288414717,0.964029222,1,True,0.036633672,0.036633672
35,it2_S005,ro_13000,1,standalone,13000,config_080/vfpga_c080_0.bin,4.489296913,0.988896144,1,True,0.011165964,0.011165964
36,it2_S007,ro_15000,1,standalone,15000,config_082/vfpga_c082_0.bin,5.032223225,0.993518001,1,True,0.006503098,0.006503098
37,it2_S017,ro_10000,1,standalone,10000,config_092/vfpga_c092_0.bin,-2.482054472,0.077125843,0,False,2.562316867,2.562316867
38,it2_S018,ro_11000,1,standalone,11000,config_093/vfpga_c093_0.bin,3.636514187,0.974332179,1,True,0.026002987,0.026002987
39,it2_S019,ro_12000,1,standalone,12000,config_094/vfpga_c094_0.bin,1.862263083,0.865560511,1,True,0.144377992,0.144377992
40,it2_S022,ro_15000,1,standalone,15000,config_097/vfpga_c097_0.bin,5.855303764,0.997143518,1,True,0.002860570,0.002860570
41,it2_S026,ro_19000,1,standalone,19000,config_101/vfpga_c101_0.bin,5.189850807,0.994458046,1,True,0.005557367,0.005557367
42,it2_S034,ro_12000,1,standalone,12000,config_109/vfpga_c109_0.bin,1.010693192,0.733155786,1,True,0.310397067,0.310397067
43,it2_S035,ro_13000,1,standalone,13000,config_110/vfpga_c110_0.bin,-0.457417488,0.387598646,0,False,0.947784892,0.947784892
44,it2_S054,ro_17000,1,standalone,17000,config_129/vfpga_c129_0.bin,1.487285137,0.815670437,1,True,0.203744882,0.203744882
45,it2_S060,ro_8000,1,standalone,8000,config_135/vfpga_c135_0.bin,-0.505374193,0.376278547,0,False,0.977425593,0.977425593
46,it2_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,8.376676559,0.999769879,1,True,0.000230147,0.000230147
