layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,1.8556399941444397,1.8556399941444397,3.6527263522148132,3.6527263522148132,3.855607509613037,2.0951074585268077,0.9999999999998959,1,auto,auto,auto
pool5,"(2, 2, 32)",128,2.1729713237727992,2.1729713237727992,0.595300059474539,0.8652148606530032,2.0113260746002197,0.2927684008150127,0.9611997871388704,1,auto,auto,
conv5,"(4, 4, 32)",512,1.75169037040979,1.75169037040979,0.5563736679698081,0.7114436742163885,2.01055645942688,0.320353143581754,0.9483611106042887,1,auto,auto,auto
gap,"(1, 1, 32)",32,2.17297132126987,2.17297132126987,0.5272294376045465,0.663960000349048,1.5305368900299072,0.2523514150897832,0.969188586515308,1,auto,auto,
act5,"(4, 4, 32)",512,1.2507100645848368,1.2507100645848368,0.36986607242261016,0.6130571293166008,2.0113260746002197,0.3081817641926664,0.9554492084941653,1,auto,,
pool4,"(4, 4, 32)",512,1.0687773597051091,1.0687773597051091,0.20104870686509457,0.2758478847166187,0.7250924110412598,0.20190911451427845,0.9893287912065617,1,auto,auto,
conv4,"(8, 8, 32)",2048,0.954908449243419,0.954908449243419,0.17704140569770743,0.23512427937050334,0.7242741584777832,0.2004509614670989,0.9855077473161465,1,auto,auto,auto
act4,"(8, 8, 32)",2048,0.7594965271404703,0.7594965271404703,0.1469563664597331,0.22146018680707255,0.7250924110412598,0.20466707736423376,0.988134993902799,1,auto,,
pad_conv5,"(6, 6, 32)",1152,0.4750121598689374,0.4750121598689374,0.08935498082893092,0.18389858981107912,0.7250924110412598,0.20190911451427845,0.9893287912065617,1,auto,,
pool3,"(8, 8, 24)",1536,0.6948029121807243,0.6948029121807243,0.09670781705320526,0.13228352842722496,0.4004824161529541,0.14760762860054036,0.996423087847681,1,auto,auto,
conv3,"(16, 16, 24)",6144,0.641777799192397,0.641777799192397,0.09175848613285591,0.12139387529264012,0.39957642555236816,0.1496233892174809,0.994446052110126,1,auto,auto,auto
act3,"(16, 16, 24)",6144,0.5435125793985,0.5435125793985,0.08109509193511144,0.11759656647654051,0.4004824161529541,0.15468237000784257,0.9955824144194207,1,auto,,
pad_conv4,"(10, 10, 24)",2400,0.44467386379566354,0.44467386379566354,0.06189300291405137,0.10582682274177996,0.4004824161529541,0.14760762860054033,0.996423087847681,1,auto,,
pool2,"(16, 16, 24)",6144,0.3409503853191893,0.3409503853191893,0.03612375432232776,0.04995185935140797,0.17091751098632812,0.09925549339669404,0.9979306340270608,1,auto,auto,
conv2,"(32, 32, 24)",24576,0.3266640630295061,0.3266640630295061,0.03686338054274015,0.04761878024066277,0.17068219184875488,0.10323077821131338,0.9963960445778374,1,auto,auto,auto
act2,"(32, 32, 24)",24576,0.25150024263799686,0.25150024263799686,0.02895882595930684,0.04443191414637224,0.17091751098632812,0.10484697751509464,0.9974250537925387,1,auto,,
pad_conv3,"(18, 18, 24)",7776,0.26939289704232244,0.26939289704232244,0.028542225637394777,0.04440165275680709,0.17091751098632812,0.09925549339669407,0.9979306340270608,1,auto,,
conv1,"(64, 64, 16)",65536,0.6046847137774773,0.6046847137774773,0.01752298354681825,0.020720321817016725,0.05801534652709961,0.026200077929180925,0.9996931121392463,1,auto,auto,auto
pool1,"(32, 32, 16)",16384,0.3180722223488601,0.3180722223488601,0.014447341979689554,0.020484395841941956,0.0588984489440918,0.039769280637659006,0.9996857005991585,1,auto,auto,
pad_conv2,"(34, 34, 16)",18496,0.2817525568211356,0.2817525568211356,0.01279764549065926,0.019279431380651253,0.0588984489440918,0.039769280637659006,0.9996857005991585,1,auto,,
act1,"(64, 64, 16)",65536,0.25281261013990175,0.25281261013990175,0.011281374642145181,0.01798591133382477,0.0588984489440918,0.04052168960508907,0.999664856001934,1,auto,,
conv0,"(128, 128, 8)",131072,0.528749466674038,0.528749466674038,0.011472813817394734,0.011585305214820832,0.01685643196105957,0.01650476090283925,0.9998702281800881,1,auto,auto,auto
pool0,"(64, 64, 8)",32768,0.41948030043484863,0.41948030043484863,0.007251447924396359,0.009427304278527924,0.017461776733398438,0.013387615826122641,0.9999675994834598,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.3944424496283609,0.3944424496283609,0.006818625045529726,0.009141628391299804,0.017461776733398438,0.013387615826122643,0.9999675994834598,1,auto,,
act0,"(128, 128, 8)",131072,0.3268709942885826,0.3268709942885826,0.005387210864681968,0.008292630051917207,0.017687082290649414,0.013685574018653543,0.9999724865769903,1,auto,,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
