layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
pool5,"(2, 2, 32)",128,0.83203125,0.83203125,0.1162109375,0.24639667772200297,1.0,0.2233081634303661,0.9748001429781366,1,auto,auto,
act5,"(4, 4, 32)",512,0.4541015625,0.4541015625,0.08837890625,0.21436757305155715,1.0,0.27969044014742495,0.9605092736146261,1,"ufixed<4,3,RND_CONV,SAT,0>",,
gap,"(1, 1, 32)",32,0.83203125,0.83203125,0.158203125,0.19419377058566067,0.5,0.19374148518753134,0.9818120303283218,1,auto,auto,
conv5,"(4, 4, 32)",512,0.81317138671875,0.81317138671875,0.14654541015625,0.19042891980694818,0.875,0.18826443139681764,0.982212414810381,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool4,"(4, 4, 32)",512,0.5126953125,0.5126953125,0.047607421875,0.15402991357652102,0.5,0.1772569114896048,0.9842896380074349,1,auto,auto,
act4,"(8, 8, 32)",2048,0.337646484375,0.337646484375,0.03533935546875,0.1328052591831971,0.5,0.19817086412990703,0.9803037005235695,1,"ufixed<4,3,RND_CONV,SAT,0>",,
conv4,"(8, 8, 32)",2048,0.741546630859375,0.741546630859375,0.0802764892578125,0.11138404803030172,0.5625,0.11679960201387304,0.9931470310086545,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pad_conv5,"(6, 6, 32)",1152,0.22786458333333334,0.22786458333333334,0.021158854166666668,0.10268660905101401,0.5,0.1772569114896048,0.9842896380074349,1,auto,,
act3,"(16, 16, 24)",6144,0.35028076171875,0.35028076171875,0.0198974609375,0.0996969186196777,0.5,0.18177237411672914,0.9835006287869307,1,"ufixed<4,3,RND_CONV,SAT,0>",,
pool3,"(8, 8, 24)",1536,0.505859375,0.505859375,0.018798828125,0.0968597414405343,0.5,0.13918599118635608,0.9903007515446554,1,auto,auto,
pad_conv4,"(10, 10, 24)",2400,0.32375,0.32375,0.01203125,0.07748779315242743,0.5,0.13918599118635608,0.9903007515446554,1,auto,,
conv3,"(16, 16, 24)",6144,0.5777079264322916,0.5777079264322916,0.030927022298177082,0.057609733378004395,0.4375,0.08380820906732889,0.9964847265498707,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
output_dense,"(1,)",1,0.265625,0.265625,0.0546875,0.0546875,0.125,0.2071256038647343,0.999999999978961,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool2,"(16, 16, 24)",6144,0.3068644205729167,0.3068644205729167,0.004536946614583333,0.04756773425043472,0.5,0.10444720955301419,0.994530750059311,1,auto,auto,
act2,"(32, 32, 24)",24576,0.20871988932291666,0.20871988932291666,0.004247029622395833,0.04600192676246096,0.5,0.12824751320499056,0.9917524011035191,1,"ufixed<4,3,RND_CONV,SAT,0>",,
pad_conv3,"(18, 18, 24)",7776,0.24246077674897118,0.24246077674897118,0.0035847479423868314,0.04228243044483086,0.5,0.10444720955301418,0.994530750059311,1,auto,,
conv2,"(32, 32, 24)",24576,0.35668468475341797,0.35668468475341797,0.005899111429850261,0.016271041359455347,0.1875,0.037482471479562726,0.9992943057355521,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool1,"(32, 32, 16)",16384,0.2935829162597656,0.2935829162597656,0.00086212158203125,0.014645563550016089,0.25,0.02974434010671078,0.9995556032270139,1,auto,auto,
pad_conv2,"(34, 34, 16)",18496,0.26005960748269896,0.26005960748269896,0.0007636786332179931,0.01378405981177985,0.25,0.029744340106710784,0.9995556032270139,1,auto,,
act1,"(64, 64, 16)",65536,0.2247934341430664,0.2247934341430664,0.0007162094116210938,0.013308659218462183,0.25,0.03268109758649444,0.9994600683418038,1,"ufixed<4,2,RND_CONV,SAT,0>",,
conv1,"(64, 64, 16)",65536,0.7434812784194946,0.7434812784194946,0.0016580820083618164,0.008121529598091247,0.125,0.008985068974489002,0.9999593458658695,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
pool0,"(64, 64, 8)",32768,0.4112682342529297,0.4112682342529297,0.0002460479736328125,0.00780855164114355,0.25,0.012155626220492878,0.9999254770563875,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.38672054350321394,0.38672054350321394,0.00023136191460055097,0.0075719288641392,0.25,0.012155626220492878,0.9999254770563875,1,auto,,
act0,"(128, 128, 8)",131072,0.3102407455444336,0.3102407455444336,0.00017786026000976562,0.0066661284215897,0.25,0.012480922796632099,0.999922077388008,1,"ufixed<4,2,RND_CONV,SAT,0>",,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
conv0,"(128, 128, 8)",131072,0.55398230694674,0.55398230694674,0.0003377430764861522,0.00044049546732575747,0.002282857894897461,0.0005994513734320523,0.9999998488884652,1,auto,auto,"fixed<4,1,TRN,WRAP,0>"
