idx,label,keras_logit,hls_logit,abs_err,rel_err
0,0,0.359375,0.4375,0.078125,0.21739130434782608
1,0,0.140625,0.125,0.015625,0.1111111111111111
2,0,0.25,0.375,0.125,0.5
3,0,0.3125,0.3125,0.0,0.0
4,0,0.03125,0.25,0.21875,7.0
5,0,0.15625,0.0,0.15625,1.0
6,0,0.296875,0.25,0.046875,0.15789473684210525
7,0,0.3125,0.4375,0.125,0.4
8,0,0.390625,0.1875,0.203125,0.52
9,0,0.3125,0.3125,0.0,0.0
10,0,0.203125,0.1875,0.015625,0.07692307692307693
11,0,0.375,0.4375,0.0625,0.16666666666666666
12,0,0.3125,0.3125,0.0,0.0
13,0,0.4375,0.4375,0.0,0.0
14,0,0.34375,0.25,0.09375,0.2727272727272727
15,0,0.234375,0.375,0.140625,0.6
16,0,0.421875,0.375,0.046875,0.1111111111111111
17,0,0.4375,0.25,0.1875,0.42857142857142855
18,0,0.3125,0.3125,0.0,0.0
19,0,0.25,0.25,0.0,0.0
20,0,0.21875,0.125,0.09375,0.42857142857142855
21,0,0.1875,0.3125,0.125,0.6666666666666666
22,0,0.25,0.25,0.0,0.0
23,0,0.40625,0.375,0.03125,0.07692307692307693
24,1,0.25,0.375,0.125,0.5
25,1,0.46875,0.4375,0.03125,0.06666666666666667
26,1,0.09375,0.3125,0.21875,2.3333333333333335
27,1,0.546875,0.4375,0.109375,0.2
28,1,0.515625,0.375,0.140625,0.2727272727272727
29,1,0.34375,0.5,0.15625,0.45454545454545453
30,1,0.671875,0.5625,0.109375,0.16279069767441862
31,1,0.296875,0.1875,0.109375,0.3684210526315789
32,1,0.421875,0.0625,0.359375,0.8518518518518519
33,1,0.3125,0.4375,0.125,0.4
34,1,0.453125,0.375,0.078125,0.1724137931034483
35,1,0.4375,0.25,0.1875,0.42857142857142855
36,1,0.546875,0.4375,0.109375,0.2
37,1,0.375,0.3125,0.0625,0.16666666666666666
38,1,0.515625,0.375,0.140625,0.2727272727272727
39,1,0.453125,0.375,0.078125,0.1724137931034483
40,1,0.21875,0.5,0.28125,1.2857142857142858
41,1,0.34375,0.25,0.09375,0.2727272727272727
42,1,0.234375,0.25,0.015625,0.06666666666666667
43,1,0.453125,0.5,0.046875,0.10344827586206896
44,1,0.40625,0.4375,0.03125,0.07692307692307693
45,1,0.203125,0.5,0.296875,1.4615384615384615
46,1,0.28125,0.375,0.09375,0.3333333333333333
47,1,0.234375,0.1875,0.046875,0.2
