sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.359375000,0.588889131,1,False,0.888892346,0.888892346,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.140625000,0.535098429,1,False,0.765929570,0.765929570,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,0.031250000,0.507811864,1,False,0.708894246,0.708894246,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,0.156250000,0.538983221,1,False,0.774320839,0.774320839,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.296875000,0.573678407,1,False,0.852561305,0.852561305,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.390625000,0.596433146,1,False,0.907413120,0.907413120,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.203125000,0.550607366,1,False,0.799858309,0.799858309,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.375000000,0.592666600,1,False,0.898123264,0.898123264,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.437500000,0.607663170,1,False,0.935634548,0.935634548,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.343750000,0.585101154,1,False,0.879720534,0.879720534,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.234375000,0.558326994,1,False,0.817185477,0.817185477,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.421875000,0.603931834,1,False,0.926168945,0.926168945,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.437500000,0.607663170,1,False,0.935634548,0.935634548,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.312500000,0.577495365,1,False,0.861554862,0.861554862,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.218750000,0.554470465,1,False,0.808491738,0.808491738,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.187500000,0.546738152,1,False,0.791285290,0.791285290,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.406250000,0.600188359,1,False,0.916761741,0.916761741,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.250000000,0.562176501,1,True,0.575939420,0.575939420,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.468750000,0.615087856,1,True,0.485990167,0.485990167,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.093750000,0.523420349,1,True,0.647370411,0.647370411,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.546875000,0.633410264,1,True,0.456636941,0.456636941,0
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.515625000,0.626124177,1,True,0.468206561,0.468206561,0
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.343750000,0.585101154,1,True,0.535970534,0.535970534,0
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.671875000,0.661922876,1,True,0.412606232,0.412606232,0
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.296875000,0.573678407,1,True,0.555686305,0.555686305,0
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.421875000,0.603931834,1,True,0.504293945,0.504293945,0
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.312500000,0.577495365,1,True,0.549054862,0.549054862,0
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.453125000,0.611381973,1,True,0.492033354,0.492033354,0
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.437500000,0.607663170,1,True,0.498134548,0.498134548,0
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.546875000,0.633410264,1,True,0.456636941,0.456636941,0
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.375000000,0.592666600,1,True,0.523123264,0.523123264,0
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.515625000,0.626124177,1,True,0.468206561,0.468206561,0
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.453125000,0.611381973,1,True,0.492033354,0.492033354,0
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.218750000,0.554470465,1,True,0.589741738,0.589741738,0
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.343750000,0.585101154,1,True,0.535970534,0.535970534,0
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.234375000,0.558326994,1,True,0.582810477,0.582810477,0
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.453125000,0.611381973,1,True,0.492033354,0.492033354,0
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.406250000,0.600188359,1,True,0.510511741,0.510511741,0
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.203125000,0.550607366,1,True,0.596733309,0.596733309,0
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.281250000,0.569852651,1,True,0.562377458,0.562377458,0
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.234375000,0.558326994,1,True,0.582810477,0.582810477,0
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-0.656250000,0.341582499,0,True,0.417916050,0.417916050,1
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-0.859375000,0.297469943,0,True,0.353067092,0.353067092,1
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-0.718750000,0.327668301,0,True,0.397003460,0.397003460,1
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-0.609375000,0.352201782,0,True,0.434176023,0.434176023,1
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.265625000,0.433981465,0,True,0.569128454,0.569128454,1
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-0.921875000,0.284576004,0,True,0.334879911,0.334879911,1
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-0.171875000,0.457136717,0,True,0.610897771,0.610897771,1
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-0.390625000,0.403566854,0,True,0.516788120,0.516788120,1
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.703125000,0.331119740,0,True,0.402150218,0.402150218,1
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.218750000,0.445529535,0,True,0.589741738,0.589741738,1
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-1.312500000,0.212068804,0,True,0.238344508,0.238344508,1
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-0.671875000,0.338077124,0,True,0.412606232,0.412606232,1
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,0.046875000,0.511716605,1,False,0.716859314,0.716859314,1
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-1.000000000,0.268941421,0,True,0.313261688,0.313261688,1
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.921875000,0.284576004,0,True,0.334879911,0.334879911,1
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-0.406250000,0.399811641,0,True,0.510511741,0.510511741,1
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.687500000,0.334589441,0,True,0.407351047,0.407351047,1
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-0.296875000,0.426321593,0,True,0.555686305,0.555686305,1
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-0.812500000,0.307358017,0,True,0.367242032,0.367242032,1
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,0.734375000,0.675764601,1,False,1.126285487,1.126285487,1
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-0.171875000,0.457136717,0,True,0.610897771,0.610897771,1
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-1.046875000,0.259825638,0,True,0.300869496,0.300869496,1
22,it2_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-0.828125000,0.304041675,0,True,0.362465498,0.362465498,1
23,it2_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-0.562500000,0.362969206,0,True,0.450937282,0.450937282,1
24,it1_S013,ro_20000,1,standalone,20000,config_088/vfpga_c088_0.bin,0.546875000,0.633410264,1,True,0.456636941,0.456636941,1
25,it1_S026,ro_18000,1,standalone,18000,config_101/vfpga_c101_0.bin,0.203125000,0.550607366,1,True,0.596733309,0.596733309,1
26,it1_S039,ro_14000,1,standalone,14000,config_114/vfpga_c114_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839,1
27,it1_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,-0.390625000,0.403566854,0,False,0.907413120,0.907413120,1
28,it1_S066,ro_8192,1,standalone,8192,config_141/vfpga_c141_0.bin,0.125000000,0.531209373,1,True,0.632599035,0.632599035,1
29,it2_S008,ro_16000,1,standalone,16000,config_083/vfpga_c083_0.bin,0.640625000,0.654894729,1,True,0.423280775,0.423280775,1
30,it2_S009,ro_17000,1,standalone,17000,config_084/vfpga_c084_0.bin,1.687500000,0.843895103,1,True,0.169727078,0.169727078,1
31,it2_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,1.609375000,0.833324595,1,True,0.182332042,0.182332042,1
32,it2_S023,ro_16000,1,standalone,16000,config_098/vfpga_c098_0.bin,2.281250000,0.907312221,1,True,0.097268653,0.097268653,1
33,it2_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,2.625000000,0.932453309,1,True,0.069936200,0.069936200,1
34,it2_S031,ro_9000,1,standalone,9000,config_106/vfpga_c106_0.bin,0.312500000,0.577495365,1,True,0.549054862,0.549054862,1
35,it2_S032,ro_10000,1,standalone,10000,config_107/vfpga_c107_0.bin,0.875000000,0.705785028,1,True,0.348444581,0.348444581,1
36,it2_S033,ro_11000,1,standalone,11000,config_108/vfpga_c108_0.bin,-0.125000000,0.468790627,0,False,0.757599035,0.757599035,1
37,it2_S041,ro_19000,1,standalone,19000,config_116/vfpga_c116_0.bin,0.500000000,0.622459331,1,True,0.474076984,0.474076984,1
38,it2_S046,ro_9000,1,standalone,9000,config_121/vfpga_c121_0.bin,-0.171875000,0.457136717,0,False,0.782772771,0.782772771,1
39,it2_S053,ro_16000,1,standalone,16000,config_128/vfpga_c128_0.bin,0.671875000,0.661922876,1,True,0.412606232,0.412606232,1
40,it2_S056,ro_19000,1,standalone,19000,config_131/vfpga_c131_0.bin,0.000000000,0.500000000,1,True,0.693147181,0.693147181,1
41,it2_S059,ro_22000,1,standalone,22000,config_134/vfpga_c134_0.bin,0.093750000,0.523420349,1,True,0.647370411,0.647370411,1
42,it2_S061,ro_9000,1,standalone,9000,config_136/vfpga_c136_0.bin,-0.468750000,0.384912144,0,False,0.954740167,0.954740167,1
43,it2_S065,ro_13000,1,standalone,13000,config_140/vfpga_c140_0.bin,0.203125000,0.550607366,1,True,0.596733309,0.596733309,1
44,it2_S066,ro_14000,1,standalone,14000,config_141/vfpga_c141_0.bin,0.406250000,0.600188359,1,True,0.510511741,0.510511741,1
45,it2_S067,ro_15000,1,standalone,15000,config_142/vfpga_c142_0.bin,0.562500000,0.637030794,1,True,0.450937282,0.450937282,1
46,it2_S072,ro_20000,1,standalone,20000,config_147/vfpga_c147_0.bin,0.640625000,0.654894729,1,True,0.423280775,0.423280775,1
47,it2_S073,ro_21000,1,standalone,21000,config_148/vfpga_c148_0.bin,-0.343750000,0.414898846,0,False,0.879720534,0.879720534,1
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,0.375000000,0.592666600,1,False,0.898123264,0.898123264,2
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,0.484375000,0.618780434,1,False,0.964379780,0.964379780,2
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,0.203125000,0.550607366,1,False,0.799858309,0.799858309,2
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,0.328125000,0.581303091,1,False,0.870607988,0.870607988,2
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,0.375000000,0.592666600,1,False,0.898123264,0.898123264,2
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,0.453125000,0.611381973,1,False,0.945158354,0.945158354,2
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,0.390625000,0.596433146,1,False,0.907413120,0.907413120,2
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,0.343750000,0.585101154,1,False,0.879720534,0.879720534,2
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,0.343750000,0.585101154,1,False,0.879720534,0.879720534,2
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,0.250000000,0.562176501,1,False,0.825939420,0.825939420,2
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,0.234375000,0.558326994,1,False,0.817185477,0.817185477,2
