sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.195312500,0.100172219,0,True,0.105551888,0.105551888
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-4.214843750,0.014559519,0,True,0.014666549,0.014666549
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-3.304687500,0.035410730,0,True,0.036052895,0.036052895
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-0.960937500,0.276690531,0,True,0.323918114,0.323918114
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-4.218750000,0.014503580,0,True,0.014609785,0.014609785
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-2.058593750,0.113186907,0,True,0.120121037,0.120121037
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-2.750000000,0.060086650,0,True,0.061967589,0.061967589
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-2.734375000,0.060975181,0,True,0.062913369,0.062913369
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-3.972656250,0.018475594,0,True,0.018648400,0.018648400
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.558593750,0.010368157,0,True,0.010422280,0.010422280
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-2.300781250,0.091058279,0,True,0.095474300,0.095474300
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.640625000,0.345105271,0,True,0.423280775,0.423280775
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-4.070312500,0.016785490,0,True,0.016927963,0.016927963
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-1.035156250,0.262085679,0,True,0.303927558,0.303927558
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.070312500,0.044348581,0,True,0.045362057,0.045362057
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.683593750,0.156620183,0,True,0.170337869,0.170337869
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-1.367187500,0.203074628,0,True,0.226994241,0.226994241
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-4.945312500,0.007066401,0,True,0.007091486,0.007091486
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-2.679687500,0.064182644,0,True,0.066334954,0.066334954
19,it2_B059,euclidean_nodbg,0,benign,0,config_059/vfpga_c059_0.bin,-1.222656250,0.227469338,0,True,0.258083579,0.258083579
20,it2_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-3.976562500,0.018404890,0,True,0.018576368,0.018576368
21,it2_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-4.250000000,0.014063627,0,True,0.014163457,0.014163457
22,it2_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-3.160156250,0.040692954,0,True,0.041544082,0.041544082
23,it1_S012,ro_19000,1,standalone,19000,config_087/vfpga_c087_0.bin,5.320312500,0.995132583,1,True,0.004879302,0.004879302
24,it1_S022,ro_10000,1,standalone,10000,config_097/vfpga_c097_0.bin,-0.125000000,0.468790627,0,False,0.757599035,0.757599035
25,it1_S025,ro_16000,1,standalone,16000,config_100/vfpga_c100_0.bin,5.074218750,0.993782922,1,True,0.006236485,0.006236485
26,it1_S028,ro_20000,1,standalone,20000,config_103/vfpga_c103_0.bin,3.125000000,0.957912272,1,True,0.042999079,0.042999079
27,it1_S029,ro_22000,1,standalone,22000,config_104/vfpga_c104_0.bin,1.601562500,0.832236653,1,True,0.183638440,0.183638440
28,it1_S042,ro_19000,1,standalone,19000,config_117/vfpga_c117_0.bin,3.507812500,0.970909243,1,True,0.029522283,0.029522283
