layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
output_dense,"(1,)",1,1.75390625,1.75390625,0.28515625,0.28515625,0.43359375,0.18366166841051212,0.9999999999995026,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool5,"(2, 2, 32)",128,2.0244140625,2.0244140625,0.0673828125,0.18303005874633388,0.5,0.06633694502624103,0.9977994135845162,1,auto,auto,
gap,"(1, 1, 32)",32,2.0244140625,2.0244140625,0.1318359375,0.1807779538225297,0.5,0.07143888193539429,0.9974746325899855,1,auto,auto,
act5,"(4, 4, 32)",512,0.991943359375,0.991943359375,0.05712890625,0.16884850766817067,0.5,0.09763140083898955,0.995234158119279,1,"ufixed<6,5,RND_CONV,SAT,0>",,
pool4,"(4, 4, 32)",512,1.5947265625,1.5947265625,0.036865234375,0.13521968263728001,0.5,0.06473514533304993,0.9978998651024951,1,auto,auto,
act4,"(8, 8, 32)",2048,1.0938720703125,1.0938720703125,0.03253173828125,0.12735291272551022,0.5,0.07926737279232363,0.996862509047463,1,"ufixed<6,5,RND_CONV,SAT,0>",,
conv5,"(4, 4, 32)",512,1.7402496337890625,1.7402496337890625,0.09287261962890625,0.1184546323350673,0.546875,0.05253938727029918,0.998620414879606,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pad_conv5,"(6, 6, 32)",1152,0.7087673611111112,0.7087673611111112,0.016384548611111112,0.09014645509152,0.5,0.06473514533304993,0.9978998651024951,1,auto,,
pool3,"(8, 8, 24)",1536,1.1209309895833333,1.1209309895833333,0.013142903645833334,0.05719366866945299,0.25,0.034533393680990655,0.9994024612496168,1,auto,auto,
conv4,"(8, 8, 32)",2048,1.4944753646850586,1.4944753646850586,0.044368743896484375,0.057040948806774364,0.28125,0.03118108571828928,0.9995128662442605,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
act3,"(16, 16, 24)",6144,0.927398681640625,0.927398681640625,0.011850992838541666,0.05439617676961713,0.25,0.037444402930269176,0.9992983698791055,1,"ufixed<6,4,RND_CONV,SAT,0>",,
pad_conv4,"(10, 10, 24)",2400,0.7173958333333333,0.7173958333333333,0.008411458333333333,0.045754934935562395,0.25,0.034533393680990655,0.9994024612496168,1,auto,,
conv3,"(16, 16, 24)",6144,1.2773844401041667,1.2773844401041667,0.017765522003173828,0.023775419297039337,0.13671875,0.014802017258251041,0.9998904717281529,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool2,"(16, 16, 24)",6144,0.5461476643880209,0.5461476643880209,0.004201253255208333,0.022901604675980437,0.125,0.03075867805062486,0.9995265995289018,1,auto,auto,
act2,"(32, 32, 24)",24576,0.4407806396484375,0.4407806396484375,0.004067738850911458,0.02254060453953021,0.125,0.03511210870720062,0.9993835159717233,1,"ufixed<6,3,RND_CONV,SAT,0>",,
pad_conv3,"(18, 18, 24)",7776,0.4315240805041152,0.4315240805041152,0.003319508744855967,0.02035698193420483,0.125,0.03075867805062486,0.9995265995289018,1,auto,,
conv2,"(32, 32, 24)",24576,0.5902013381322225,0.5902013381322225,0.005639374256134033,0.008888451374303767,0.064453125,0.012272067741410514,0.999924728562382,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool1,"(32, 32, 16)",16384,0.4500274658203125,0.4500274658203125,0.0011730194091796875,0.008559034208997786,0.0625,0.013138326173054281,0.9999136472566564,1,auto,auto,
act1,"(64, 64, 16)",65536,0.35892319679260254,0.35892319679260254,0.0010917186737060547,0.008256318458670156,0.0625,0.014590781193213878,0.9998934528888462,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv2,"(34, 34, 16)",18496,0.3986402465397924,0.3986402465397924,0.0010390760164359861,0.008055561608468506,0.0625,0.013138326173054281,0.9999136472566564,1,auto,,
conv1,"(64, 64, 16)",65536,0.6069945245981216,0.6069945245981216,0.0016244202852249146,0.004014999367310289,0.037109375,0.005276974609579468,0.9999860579684494,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
pool0,"(64, 64, 8)",32768,0.424222469329834,0.424222469329834,0.0002346038818359375,0.003827342689502001,0.0625,0.005319756174468485,0.9999858426472454,1,auto,auto,
pad_conv1,"(66, 66, 8)",34848,0.39890156895661155,0.39890156895661155,0.00022060089531680441,0.0037113626080019406,0.0625,0.005319756174468485,0.9999858426472454,1,auto,,
act0,"(128, 128, 8)",131072,0.3265106678009033,0.3265106678009033,0.00017952919006347656,0.003348934317699788,0.0625,0.005356085604613335,0.9999856828408761,1,"ufixed<6,2,RND_CONV,SAT,0>",,
pad_conv0,"(260, 260, 1)",67600,0.8846841305467633,0.8846841305467633,0.00027427549984205526,0.00046882548768631394,0.000972747802734375,0.0005115040917160544,0.9999999038147784,1,auto,,
conv0,"(128, 128, 8)",131072,0.44995128006951757,0.44995128006951757,0.00032442623806505644,0.00042374946392895874,0.0022749900817871094,0.0006434398507537419,0.9999998191049876,1,auto,auto,"fixed<6,1,TRN,WRAP,0>"
