sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.447753906,0.610105073,1,False,0.941877993,0.941877993
1,it1_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-3.823730469,0.021379101,0,True,0.021610945,0.021610945
2,it1_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-2.683837891,0.063933808,0,True,0.066069087,0.066069087
3,it1_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-3.091552734,0.043457044,0,True,0.044429582,0.044429582
4,it1_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-3.115478516,0.042473278,0,True,0.043401650,0.043401650
5,it1_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.913085938,0.019587420,0,True,0.019781796,0.019781796
6,it1_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-1.948730469,0.124691854,0,True,0.133179287,0.133179287
7,it1_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.485107422,0.184657213,0,True,0.204146656,0.204146656
8,it1_B054,hls_vadd_nodbg,0,benign,0,config_054/vfpga_c054_0.bin,-1.907958984,0.129210323,0,True,0.138354805,0.138354805
9,it1_B065,multithreading_aes,0,benign,0,config_065/vfpga_c065_0.bin,-0.880371094,0.293100885,0,True,0.346867318,0.346867318
10,it1_B069,hls_vadd_nodbg,0,benign,0,config_069/vfpga_c069_0.bin,-4.594482422,0.010006313,0,True,0.010056712,0.010056712
11,it1_B073,multithreading_aes_nodbg,0,benign,0,config_073/vfpga_c073_0.bin,-0.762695312,0.318061371,0,True,0.382815612,0.382815612
12,it2_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-5.000244141,0.006691228,0,True,0.006713715,0.006713715
13,it2_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-4.072998047,0.016741226,0,True,0.016882944,0.016882944
14,it2_B010,multitenancy_aes_nodbg,0,benign,0,config_010/vfpga_c010_0.bin,-3.243164062,0.037573306,0,True,0.038297377,0.038297377
15,it2_B014,euclidean_nodbg,0,benign,0,config_014/vfpga_c014_0.bin,-3.416992188,0.031768617,0,True,0.032284188,0.032284188
16,it2_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-2.832763672,0.055579154,0,True,0.057183401,0.057183401
17,it2_B026,user_interrupts_nodbg,0,benign,0,config_026/vfpga_c026_0.bin,-5.394042969,0.004523016,0,True,0.004533276,0.004533276
18,it2_B037,cosine,0,benign,0,config_037/vfpga_c037_0.bin,-2.098876953,0.109206023,0,True,0.115642105,0.115642105
