sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-2.268066406,0.093802446,0,True,0.098497945,0.098497945
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-5.487060547,0.004122927,0,True,0.004131449,0.004131449
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-2.467529297,0.078166079,0,True,0.081390201,0.081390201
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,0.536376953,0.630969203,1,False,0.996875178,0.996875178
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-5.049560547,0.006371297,0,True,0.006391680,0.006391680
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-2.202392578,0.099535840,0,True,0.104844916,0.104844916
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-3.051025391,0.045173225,0,True,0.046225342,0.046225342
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-5.245849609,0.005241722,0,True,0.005255508,0.005255508
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-3.988281250,0.018194368,0,True,0.018361921,0.018361921
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.707031250,0.008950711,0,True,0.008991010,0.008991010
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-1.361328125,0.204024532,0,True,0.228186913,0.228186913
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-0.888916016,0.291333574,0,True,0.344370349,0.344370349
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-3.832763672,0.021190923,0,True,0.021418674,0.021418674
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-2.103271484,0.108779257,0,True,0.115163134,0.115163134
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-3.786132812,0.022180039,0,True,0.022429715,0.022429715
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-4.321044922,0.013111790,0,True,0.013198509,0.013198509
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-2.542968750,0.072900273,0,True,0.075694139,0.075694139
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-6.162353516,0.002102857,0,True,0.002105071,0.002105071
18,it2_B057,perf_fpga_nodbg,0,benign,0,config_057/vfpga_c057_0.bin,-2.608642578,0.068584266,0,True,0.071049555,0.071049555
