sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-3.195312500,0.039342503,0,True,0.040137337,0.040137337
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-3.239990234,0.037688245,0,True,0.038416811,0.038416811
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-3.849609375,0.020844316,0,True,0.021064625,0.021064625
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-2.137451172,0.105509700,0,True,0.111501220,0.111501220
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.772460938,0.058830604,0,True,0.060632139,0.060632139
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-3.598144531,0.026645073,0,True,0.027006487,0.027006487
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-3.312255859,0.035153126,0,True,0.035785870,0.035785870
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-1.336425781,0.208098452,0,True,0.233318203,0.233318203
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-4.932128906,0.007159507,0,True,0.007185259,0.007185259
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-3.728515625,0.023464657,0,True,0.023744335,0.023744335
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-2.133056641,0.105925164,0,True,0.111965798,0.111965798
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-1.948486328,0.124718503,0,True,0.133209733,0.133209733
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-5.265869141,0.005138363,0,True,0.005151610,0.005151610
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-2.584960938,0.070112603,0,True,0.072691779,0.072691779
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-4.894287109,0.007433574,0,True,0.007461341,0.007461341
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-4.309570312,0.013261103,0,True,0.013349816,0.013349816
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-4.070312500,0.016785490,0,True,0.016927963,0.016927963
