sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-6.736151218,0.001185800,0,True,0.001186504,0.001186504
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-2.305138350,0.090698298,0,True,0.095078335,0.095078335
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-5.136558533,0.005843536,0,True,0.005860676,0.005860676
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-8.213486671,0.000270901,0,True,0.000270938,0.000270938
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-5.165522099,0.005677661,0,True,0.005693840,0.005693840
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-5.052988052,0.006349635,0,True,0.006369880,0.006369880
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-6.164800167,0.002097729,0,True,0.002099932,0.002099932
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-3.969211817,0.018538160,0,True,0.018712145,0.018712145
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-2.465086937,0.078342247,0,True,0.081581326,0.081581326
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-3.550153732,0.027918401,0,True,0.028315529,0.028315529
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-6.046067238,0.002361563,0,True,0.002364356,0.002364356
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-5.951764584,0.002594497,0,True,0.002597869,0.002597869
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,-5.838124752,0.002905834,0,True,0.002910064,0.002910064
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-4.242235661,0.014171693,0,True,0.014273071,0.014273071
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-4.970045567,0.006894961,0,True,0.006918841,0.006918841
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-3.193075180,0.039427149,0,True,0.040225453,0.040225453
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-3.425146103,0.031518763,0,True,0.032026169,0.032026169
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-1.051328301,0.258970112,0,True,0.299714320,0.299714320
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-0.313827276,0.422180820,0,True,0.548494297,0.548494297
19,it2_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-5.345435619,0.004747229,0,True,0.004758533,0.004758533
20,it2_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-1.656184077,0.160274904,0,True,0.174680708,0.174680708
21,it2_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-2.421707153,0.081532324,0,True,0.085048567,0.085048567
22,it2_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-3.307349920,0.035319903,0,True,0.035958738,0.035958738
23,it2_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-7.920197010,0.000363199,0,True,0.000363265,0.000363265
24,it1_S007,ro_10000,1,standalone,10000,config_082/vfpga_c082_0.bin,1.140888572,0.757842744,1,True,0.277279376,0.277279376
25,it1_S010,ro_16000,1,standalone,16000,config_085/vfpga_c085_0.bin,4.385732174,0.987699422,1,True,0.012376856,0.012376856
26,it1_S014,ro_22000,1,standalone,22000,config_089/vfpga_c089_0.bin,4.580861568,0.989857852,1,True,0.010193930,0.010193930
27,it1_S021,ro_8192,1,standalone,8192,config_096/vfpga_c096_0.bin,2.144218683,0.895127298,1,True,0.110789339,0.110789339
28,it1_S041,ro_18000,1,standalone,18000,config_116/vfpga_c116_0.bin,7.117968559,0.999190245,1,True,0.000810083,0.000810083
29,it1_S043,ro_20000,1,standalone,20000,config_118/vfpga_c118_0.bin,5.532242298,0.996058491,1,True,0.003949297,0.003949297
30,it1_S044,ro_22000,1,standalone,22000,config_119/vfpga_c119_0.bin,6.457122803,0.998433154,1,True,0.001568074,0.001568074
31,it1_S051,ro_8192,1,standalone,8192,config_126/vfpga_c126_0.bin,0.229510710,0.557127132,1,True,0.584961821,0.584961821
32,it1_S053,ro_12000,1,standalone,12000,config_128/vfpga_c128_0.bin,2.151279688,0.895788298,1,True,0.110051168,0.110051168
33,it1_S070,ro_16000,1,standalone,16000,config_145/vfpga_c145_0.bin,6.812645912,0.998901429,1,True,0.001099175,0.001099175
34,it2_S001,ro_9000,1,standalone,9000,config_076/vfpga_c076_0.bin,5.827533245,0.997063316,1,True,0.002941004,0.002941004
35,it2_S010,ro_18000,1,standalone,18000,config_085/vfpga_c085_0.bin,9.310054779,0.999909499,1,True,0.000090505,0.000090505
36,it2_S011,ro_19000,1,standalone,19000,config_086/vfpga_c086_0.bin,8.328177452,0.999758446,1,True,0.000241583,0.000241583
37,it2_S012,ro_20000,1,standalone,20000,config_087/vfpga_c087_0.bin,9.466742516,0.999922623,1,True,0.000077380,0.000077380
38,it2_S021,ro_14000,1,standalone,14000,config_096/vfpga_c096_0.bin,6.359851360,0.998273363,1,True,0.001728130,0.001728130
39,it2_S025,ro_18000,1,standalone,18000,config_100/vfpga_c100_0.bin,8.753011703,0.999842040,1,True,0.000157972,0.000157972
40,it2_S027,ro_20000,1,standalone,20000,config_102/vfpga_c102_0.bin,12.019844055,0.999993977,1,True,0.000006023,0.000006023
41,it2_S028,ro_21000,1,standalone,21000,config_103/vfpga_c103_0.bin,7.587455750,0.999493488,1,True,0.000506640,0.000506640
42,it2_S037,ro_15000,1,standalone,15000,config_112/vfpga_c112_0.bin,3.133710384,0.958262046,1,True,0.042634004,0.042634004
43,it2_S038,ro_16000,1,standalone,16000,config_113/vfpga_c113_0.bin,3.706691265,0.976030023,1,True,0.024261932,0.024261932
44,it2_S039,ro_17000,1,standalone,17000,config_114/vfpga_c114_0.bin,3.239709377,0.962301568,1,True,0.038427397,0.038427397
45,it2_S055,ro_18000,1,standalone,18000,config_130/vfpga_c130_0.bin,9.871993065,0.999948403,1,True,0.000051598,0.000051598
46,it2_S063,ro_11000,1,standalone,11000,config_138/vfpga_c138_0.bin,4.496988297,0.988980283,1,True,0.011080884,0.011080884
47,it2_S069,ro_17000,1,standalone,17000,config_144/vfpga_c144_0.bin,6.842370033,0.998933568,1,True,0.001067001,0.001067001
