sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-3.174808979,0.040124788,0,True,0.040951991,0.040951991
1,it1_B012,perf_fpga_nodbg,0,benign,0,config_012/vfpga_c012_0.bin,-6.549879074,0.001428246,0,True,0.001429267,0.001429267
2,it1_B015,hello_world,0,benign,0,config_015/vfpga_c015_0.bin,-2.540812016,0.073046172,0,True,0.075851523,0.075851523
3,it1_B022,cosine,0,benign,0,config_022/vfpga_c022_0.bin,-3.124003410,0.042127925,0,True,0.043041043,0.043041043
4,it1_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-5.601108074,0.003680175,0,True,0.003686963,0.003686963
5,it1_B032,multitenancy_aes,0,benign,0,config_032/vfpga_c032_0.bin,-3.247433186,0.037419232,0,True,0.038137301,0.038137301
6,it1_B046,hls_vadd,0,benign,0,config_046/vfpga_c046_0.bin,-6.357152462,0.001731296,0,True,0.001732796,0.001732796
7,it1_B068,hello_world_nodbg,0,benign,0,config_068/vfpga_c068_0.bin,-6.091474056,0.002256967,0,True,0.002259517,0.002259517
8,it2_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-7.247234344,0.000711634,0,True,0.000711888,0.000711888
9,it2_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-7.039145947,0.000876107,0,True,0.000876491,0.000876491
10,it2_B020,multithreading_aes,0,benign,0,config_020/vfpga_c020_0.bin,-5.482263088,0.004142672,0,True,0.004151276,0.004151276
11,it2_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-2.207594872,0.099070537,0,True,0.104328312,0.104328312
12,it2_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-6.519834518,0.001471744,0,True,0.001472828,0.001472828
13,it2_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-4.597236156,0.009979070,0,True,0.010029195,0.010029195
14,it2_B039,hls_vadd_nodbg,0,benign,0,config_039/vfpga_c039_0.bin,-7.144593716,0.000788497,0,True,0.000788808,0.000788808
15,it2_B043,multithreading_aes_nodbg,0,benign,0,config_043/vfpga_c043_0.bin,-3.452615261,0.030690962,0,True,0.031171794,0.031171794
16,it2_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-3.497331142,0.029388263,0,True,0.029828750,0.029828750
17,it2_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-6.229899883,0.001965777,0,True,0.001967712,0.001967712
