sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-2.425582409,0.081242597,0,True,0.084733170,0.084733170,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-4.532849312,0.010635669,0,True,0.010692632,0.010692632,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-4.830432892,0.007919840,0,True,0.007951369,0.007951369,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-3.931948185,0.019228458,0,True,0.019415729,0.019415729,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-2.430168152,0.080900963,0,True,0.084361397,0.084361397,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-1.935401559,0.126153914,0,True,0.134851021,0.134851021,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-5.298375130,0.004974838,0,True,0.004987254,0.004987254,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-1.545218229,0.175777978,0,True,0.193315341,0.193315341,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-4.259425163,0.013933536,0,True,0.014031519,0.014031519,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-5.708754539,0.003305836,0,True,0.003311312,0.003311312,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-2.894456387,0.052428285,0,True,0.053852656,0.053852656,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-3.675896168,0.024701101,0,True,0.025011292,0.025011292,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-4.586754799,0.010083154,0,True,0.010134334,0.010134334,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-0.648850858,0.343248541,0,True,0.420449628,0.420449628,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-4.413645267,0.011966030,0,True,0.012038199,0.012038199,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.174227715,0.102088840,0,True,0.107684147,0.107684147,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-4.372212887,0.012465915,0,True,0.012544266,0.012544266,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-6.278438568,0.001872814,0,True,0.001874570,0.001874570,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-6.320176125,0.001796394,0,True,0.001798009,0.001798009,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-1.781892657,0.144069587,0,True,0.155566199,0.155566199,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-1.214376807,0.228927542,0,True,0.259972930,0.259972930,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-4.316822529,0.013166540,0,True,0.013253987,0.013253987,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-6.100424767,0.002236900,0,True,0.002239406,0.002239406,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-2.712406635,0.062245226,0,True,0.064266799,0.064266799,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,4.702904701,0.991012609,1,True,0.009028021,0.009028021,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,4.910750389,0.992686917,1,True,0.007339955,0.007339955,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,6.694142342,0.998763388,1,True,0.001237377,0.001237377,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,1.629627585,0.836118615,1,True,0.178984792,0.178984792,0
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,2.837940931,0.944691976,1,True,0.056896356,0.056896356,0
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,6.025129318,0.997588590,1,True,0.002414322,0.002414322,0
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,7.443023682,0.999414831,1,True,0.000585341,0.000585341,0
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,8.918317795,0.999866105,1,True,0.000133904,0.000133904,0
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,4.345176697,0.987196831,1,True,0.012885836,0.012885836,0
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,7.254469872,0.999293492,1,True,0.000706757,0.000706757,0
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,9.709713936,0.999939313,1,True,0.000060689,0.000060689,0
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,1.215173244,0.771213015,1,True,0.259790660,0.259790660,0
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,6.018115520,0.997571659,1,True,0.002431295,0.002431295,0
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,-0.761081874,0.318411426,0,False,1.144410941,1.144410941,0
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,2.617794991,0.931998091,1,True,0.070424512,0.070424512,0
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,8.244086266,0.999737261,1,True,0.000262774,0.000262774,0
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.411235034,0.601383980,1,True,0.508521647,0.508521647,0
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,3.966455221,0.981411618,1,True,0.018763317,0.018763317,0
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.088943608,0.522221255,1,True,0.649663921,0.649663921,0
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,2.052606821,0.886210759,1,True,0.120800480,0.120800480,0
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,3.141541958,0.958574155,1,True,0.042308354,0.042308354,0
