sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-9.557896614,0.000070636,0,True,0.000070639,0.000070639
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-4.882092476,0.007524093,0,True,0.007552542,0.007552542
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-6.788201332,0.001125725,0,True,0.001126359,0.001126359
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,-1.148431778,0.240775642,0,True,0.275457948,0.275457948
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,-1.423867583,0.194055984,0,True,0.215740999,0.215740999
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-3.014887094,0.046757837,0,True,0.047886302,0.047886302
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-8.799900055,0.000150725,0,True,0.000150737,0.000150737
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-7.729726791,0.000439371,0,True,0.000439468,0.000439468
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-6.396946907,0.001663865,0,True,0.001665251,0.001665251
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-2.893687963,0.052466473,0,True,0.053892958,0.053892958
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-9.181311607,0.000102935,0,True,0.000102940,0.000102940
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-5.820683479,0.002956809,0,True,0.002961189,0.002961189
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-4.980998993,0.006820362,0,True,0.006843727,0.006843727
13,it1_B061,hls_vadd,0,benign,0,config_061/vfpga_c061_0.bin,-7.329165459,0.000655691,0,True,0.000655906,0.000655906
14,it1_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-8.044820786,0.000320656,0,True,0.000320707,0.000320707
15,it1_B067,cosine,0,benign,0,config_067/vfpga_c067_0.bin,-7.369699955,0.000629660,0,True,0.000629859,0.000629859
16,it1_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-6.756129265,0.001162372,0,True,0.001163048,0.001163048
17,it2_B001,hls_vadd,0,benign,0,config_001/vfpga_c001_0.bin,-8.701793671,0.000166260,0,True,0.000166273,0.000166273
18,it2_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-8.855831146,0.000142528,0,True,0.000142538,0.000142538
19,it2_B021,euclidean,0,benign,0,config_021/vfpga_c021_0.bin,-8.318933487,0.000243796,0,True,0.000243826,0.000243826
20,it2_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-4.302308083,0.013356468,0,True,0.013446467,0.013446467
21,it2_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-5.651696205,0.003499268,0,True,0.003505404,0.003505404
