sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss,fold
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-6.420706272,0.001624862,0,True,0.001626183,0.001626183,0
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-7.395642757,0.000613545,0,True,0.000613734,0.000613734,0
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-7.611078739,0.000494693,0,True,0.000494815,0.000494815,0
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-7.559950352,0.000520630,0,True,0.000520765,0.000520765,0
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-5.532667160,0.003939842,0,True,0.003947623,0.003947623,0
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-7.604116917,0.000498147,0,True,0.000498271,0.000498271,0
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-8.366604805,0.000232450,0,True,0.000232477,0.000232477,0
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-7.815352917,0.000403330,0,True,0.000403411,0.000403411,0
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-8.607417107,0.000182712,0,True,0.000182729,0.000182729,0
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-7.348060131,0.000643426,0,True,0.000643633,0.000643633,0
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-3.006005526,0.047155300,0,True,0.048303347,0.048303347,0
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-4.755581379,0.008530152,0,True,0.008566742,0.008566742,0
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-7.004239559,0.000907200,0,True,0.000907612,0.000907612,0
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-8.913657188,0.000134521,0,True,0.000134530,0.000134530,0
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-8.155442238,0.000287086,0,True,0.000287127,0.000287127,0
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-7.538864613,0.000531718,0,True,0.000531860,0.000531860,0
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,-9.283450127,0.000092941,0,True,0.000092946,0.000092946,0
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,-8.936029434,0.000131545,0,True,0.000131554,0.000131554,0
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,-7.781980038,0.000417011,0,True,0.000417098,0.000417098,0
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,-6.288177490,0.001854697,0,True,0.001856419,0.001856419,0
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,-6.235671043,0.001954487,0,True,0.001956400,0.001956400,0
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-7.266263485,0.000698230,0,True,0.000698474,0.000698474,0
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-8.933207512,0.000131917,0,True,0.000131925,0.000131925,0
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-6.745900154,0.001174309,0,True,0.001174999,0.001174999,0
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,15.122296333,0.999999729,1,True,0.000000271,0.000000271,0
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,18.598579407,0.999999992,1,True,0.000000100,0.000000100,0
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,17.223188400,0.999999967,1,True,0.000000100,0.000000100,0
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,3.737173080,0.976732905,1,True,0.023542048,0.023542048,0
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,10.056224823,0.999957084,1,True,0.000042917,0.000042917,0
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,8.048800468,0.999680617,1,True,0.000319434,0.000319434,0
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,14.849892616,0.999999645,1,True,0.000000355,0.000000355,0
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,24.058980942,1.000000000,1,True,0.000000100,0.000000100,0
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,16.826583862,0.999999951,1,True,0.000000100,0.000000100,0
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,21.736379623,1.000000000,1,True,0.000000100,0.000000100,0
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,21.986768723,1.000000000,1,True,0.000000100,0.000000100,0
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,4.963489056,0.993059998,1,True,0.006964196,0.006964196,0
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,13.675225258,0.999998849,1,True,0.000001151,0.000001151,0
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,-0.482359439,0.381695133,0,False,0.963133070,0.963133070,0
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,9.991353035,0.999954208,1,True,0.000045793,0.000045793,0
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,21.902870178,1.000000000,1,True,0.000000100,0.000000100,0
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,1.516340494,0.819998968,1,True,0.198452198,0.198452198,0
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,15.390124321,0.999999793,1,True,0.000000207,0.000000207,0
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,4.903538227,0.992634373,1,True,0.007392887,0.007392887,0
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,7.144027710,0.999211057,1,True,0.000789254,0.000789254,0
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,12.042505264,0.999994112,1,True,0.000005889,0.000005889,0
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,11.425277710,0.999989084,1,True,0.000010916,0.000010916,0
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,17.268945694,0.999999968,1,True,0.000000100,0.000000100,0
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,15.913443565,0.999999877,1,True,0.000000123,0.000000123,0
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-8.972847939,0.000126790,0,True,0.000126799,0.000126799,1
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-4.693075180,0.009075362,0,True,0.009116794,0.009116794,1
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-4.229869366,0.014345503,0,True,0.014449395,0.014449395,1
