sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B004,perf_fpga,0,benign,0,config_004/vfpga_c004_0.bin,-9.506062508,0.000074394,0,True,0.000074397,0.000074397
1,it1_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,-2.409683704,0.082437240,0,True,0.086034298,0.086034298
2,it1_B016,hls_vadd,0,benign,0,config_016/vfpga_c016_0.bin,-2.776958942,0.058582045,0,True,0.060368078,0.060368078
3,it1_B017,multitenancy_aes,0,benign,0,config_017/vfpga_c017_0.bin,4.348798752,0.987242530,1,False,4.361638297,4.361638297
4,it1_B025,multitenancy_aes_nodbg,0,benign,0,config_025/vfpga_c025_0.bin,2.047229052,0.885667330,1,False,2.168642924,2.168642924
5,it1_B028,multithreading_aes_nodbg,0,benign,0,config_028/vfpga_c028_0.bin,-1.192309976,0.232846053,0,True,0.265067785,0.265067785
6,it1_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-10.974239349,0.000017137,0,True,0.000017137,0.000017137
7,it1_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,-6.022866726,0.002416859,0,True,0.002419784,0.002419784
8,it1_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-2.257245064,0.094726350,0,True,0.099518005,0.099518005
9,it1_B045,hello_world,0,benign,0,config_045/vfpga_c045_0.bin,-3.328536272,0.034605097,0,True,0.035218035,0.035218035
10,it1_B049,perf_fpga,0,benign,0,config_049/vfpga_c049_0.bin,-8.962308884,0.000128134,0,True,0.000128142,0.000128142
11,it1_B050,multithreading_aes,0,benign,0,config_050/vfpga_c050_0.bin,-5.426447868,0.004379429,0,True,0.004389047,0.004389047
12,it1_B056,user_interrupts_nodbg,0,benign,0,config_056/vfpga_c056_0.bin,-6.157793999,0.002112446,0,True,0.002114681,0.002114681
