layer,shape,n_values_per_sample,mean_abs_keras,mean_abs_qkeras,mae,rmse,max_abs,rel_rmse,cosine_similarity,reuse_factor,result_precision,accum_precision,weight_precision
pool6,"(8, 8, 32)",2048,5.790190186662812,5.790190186662812,1.8002102661278059,2.8212650208068477,9.857231140136719,0.3090494804233292,0.9868236736806649,1,auto,auto,
conv6,"(16, 16, 32)",8192,8.294882026729084,8.294882026729084,2.1043845474651164,2.8077654971274324,9.904945373535156,0.2661515273690709,0.977869465675522,1,auto,auto,auto
act6,"(16, 16, 32)",8192,3.896536195234333,3.896536195234333,1.2905768458970357,2.3219375631271912,9.905609130859375,0.3313629512129278,0.980998320482863,1,auto,,
gap,"(1, 1, 32)",32,5.790190135872763,5.790190135872763,1.7909835929040128,2.2612304063106254,5.287689208984375,0.2831111631683072,0.9914118820227,1,auto,auto,
pool5,"(16, 16, 32)",8192,4.085233120610695,4.085233120610695,1.0875826062168414,1.7433384490715103,7.3769989013671875,0.28901680765913285,0.9915637380372593,1,auto,auto,
conv5,"(32, 32, 32)",32768,3.8775709171629043,3.8775709171629043,1.0372689174868928,1.6176429485657609,7.37689208984375,0.297917129237113,0.9845401970610569,1,auto,auto,auto
act5,"(32, 32, 32)",32768,3.0355389804248176,3.0355389804248176,0.8737939547494236,1.5638867571763724,7.3769989013671875,0.30825604608817936,0.9895015288277653,1,auto,,
pad_conv6,"(18, 18, 32)",10368,3.227838515050426,3.227838515050426,0.8593245283688624,1.5496341769524535,7.3769989013671875,0.28901680765913285,0.9915637380372593,1,auto,,
output_dense,"(1,)",1,8.199519038200378,8.199519038200378,1.11514413356781,1.11514413356781,2.161342144012451,0.1544931617842772,0.9999999999999863,1,auto,auto,auto
pool4,"(32, 32, 32)",32768,1.6698670066574557,1.6698670066574557,0.3800707469804727,0.5684900552621943,2.1856393814086914,0.23593994434929566,0.989561171652184,1,auto,auto,
conv4,"(64, 64, 32)",131072,1.7103464292097288,1.7103464292097288,0.3872304700330348,0.542901684449439,2.184666633605957,0.2361759543671636,0.9820789963394887,1,auto,auto,auto
pad_conv5,"(34, 34, 32)",36992,1.4791901512259815,1.4791901512259815,0.33667166514533226,0.5350494637761828,2.1856393814086914,0.2359399443492956,0.9895611716521838,1,auto,,
act4,"(64, 64, 32)",131072,1.3015850279166403,1.3015850279166403,0.31439512665238084,0.5074704592433856,2.1856393814086914,0.2487713542409944,0.9866845195601168,1,auto,,
pool3,"(64, 64, 24)",98304,0.7922940600786766,0.7922940600786766,0.12073475622002139,0.19723617972390797,0.8515524864196777,0.1778705383001542,0.9944737630602434,1,auto,auto,
pad_conv4,"(66, 66, 24)",104544,0.7450037810106197,0.7450037810106197,0.11352836581203113,0.19125932579288046,0.8515524864196777,0.17787053830015417,0.9944737630602432,1,auto,,
conv3,"(128, 128, 24)",393216,0.8624556465743315,0.8624556465743315,0.12713103040397322,0.18968846294471484,0.8539342880249023,0.1730788436012157,0.993679632233788,1,auto,auto,auto
act3,"(128, 128, 24)",393216,0.6688814189133886,0.6688814189133886,0.10734580325751275,0.181670892616619,0.8546867370605469,0.1858636031678524,0.9931725050463562,1,auto,,
pool2,"(128, 128, 24)",393216,0.388815638456215,0.388815638456215,0.0422353468010741,0.06031543024953583,0.2910301685333252,0.09852146008446588,0.9980710128003449,1,auto,auto,
pad_conv3,"(130, 130, 24)",405600,0.3769441077199187,0.3769441077199187,0.0409457942005206,0.059387500553389136,0.2910301685333252,0.09852146008446591,0.9980710128003446,1,auto,,
conv2,"(256, 256, 24)",1572864,0.37175365759922424,0.37175365759922424,0.04448323104717122,0.05738170774097187,0.2909882068634033,0.10109988724929124,0.9971885099868859,1,auto,auto,auto
act2,"(256, 256, 24)",1572864,0.3290257286393145,0.3290257286393145,0.03647907854548405,0.055424556474971354,0.2910301685333252,0.09959599371327293,0.9978020749296795,1,auto,,
conv1,"(512, 512, 16)",4194304,0.5741918468175382,0.5741918468175382,0.019667931865776433,0.022582525835290062,0.07317376136779785,0.029123111170258103,0.999624265018382,1,auto,auto,auto
pool1,"(256, 256, 16)",1048576,0.30854336937487287,0.30854336937487287,0.014678016346968997,0.02152821231717754,0.07352852821350098,0.04107174041568401,0.9997130508906484,1,auto,auto,
pad_conv2,"(258, 258, 16)",1065024,0.3037782924005724,0.3037782924005724,0.014451332241376123,0.02136132695037771,0.07352852821350098,0.04107174041568401,0.9997130508906481,1,auto,,
act1,"(512, 512, 16)",4194304,0.260091479788629,0.260091479788629,0.011819533766979293,0.019133880319196724,0.07352852821350098,0.04090825960313516,0.9997298439645819,1,auto,,
conv0,"(1024, 1024, 8)",8388608,0.519619009381638,0.519619009381638,0.011607721616767062,0.01169086000363771,0.015574544668197632,0.01685695453773279,0.9998709458730866,1,auto,auto,auto
pool0,"(512, 512, 8)",2097152,0.4612350233241124,0.4612350233241124,0.006430633237320016,0.008562365929550763,0.01540672779083252,0.011397326319917217,0.9999793534067176,1,auto,auto,
pad_conv1,"(514, 514, 8)",2113568,0.45765262893562403,0.45765262893562403,0.006380686760450643,0.008529049330603096,0.01540672779083252,0.011397326319917217,0.9999793534067181,1,auto,,
act0,"(1024, 1024, 8)",8388608,0.3794854039786738,0.3794854039786738,0.005025971220515389,0.007632258513547523,0.015811681747436523,0.011583322905738052,0.9999857391119713,1,auto,,
pad_conv0,"(2052, 2052, 1)",4210704,0.9089026631248298,0.9089026631248298,0.00028158933465526076,0.0004750707588833279,0.000972747802734375,0.0005113669894638752,0.9999999038085053,1,auto,,
