sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-8.234436035,0.000265286,0,True,0.000265321,0.000265321
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,-8.932469368,0.000132014,0,True,0.000132023,0.000132023
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-9.571343422,0.000069693,0,True,0.000069695,0.000069695
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,-6.059827328,0.002329365,0,True,0.002332083,0.002332083
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-9.115264893,0.000109962,0,True,0.000109968,0.000109968
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-8.891423225,0.000137545,0,True,0.000137554,0.000137554
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,-10.297533989,0.000033715,0,True,0.000033716,0.000033716
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,-4.196642399,0.014822984,0,True,0.014933942,0.014933942
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,-10.467810631,0.000028436,0,True,0.000028437,0.000028437
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-9.011833191,0.000121943,0,True,0.000121951,0.000121951
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,-3.751657009,0.022940200,0,True,0.023207421,0.023207421
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,-6.925232887,0.000981710,0,True,0.000982192,0.000982192
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-8.728279114,0.000161915,0,True,0.000161928,0.000161928
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,-2.959412098,0.049293550,0,True,0.050549939,0.050549939
