sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B000,hello_world,0,benign,0,config_000/vfpga_c000_0.bin,-10.638242722,0.000023981,0,True,0.000023981,0.000023981
1,it1_B007,cosine,0,benign,0,config_007/vfpga_c007_0.bin,-5.967852116,0.002553198,0,True,0.002556463,0.002556463
2,it1_B024,hls_vadd_nodbg,0,benign,0,config_024/vfpga_c024_0.bin,-10.603457451,0.000024829,0,True,0.000024830,0.000024830
3,it1_B027,perf_fpga_nodbg,0,benign,0,config_027/vfpga_c027_0.bin,-8.129769325,0.000294549,0,True,0.000294593,0.000294593
4,it1_B031,hls_vadd,0,benign,0,config_031/vfpga_c031_0.bin,-5.821150780,0.002955432,0,True,0.002959807,0.002959807
5,it1_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-7.726807594,0.000440655,0,True,0.000440752,0.000440752
6,it1_B038,hello_world_nodbg,0,benign,0,config_038/vfpga_c038_0.bin,-7.184226036,0.000757881,0,True,0.000758168,0.000758168
7,it1_B042,perf_fpga_nodbg,0,benign,0,config_042/vfpga_c042_0.bin,-4.243820190,0.014149573,0,True,0.014250633,0.014250633
8,it1_B047,multitenancy_aes,0,benign,0,config_047/vfpga_c047_0.bin,-7.986692905,0.000339841,0,True,0.000339899,0.000339899
9,it1_B055,multitenancy_aes_nodbg,0,benign,0,config_055/vfpga_c055_0.bin,-10.067437172,0.000042437,0,True,0.000042438,0.000042438
10,it1_B060,hello_world,0,benign,0,config_060/vfpga_c060_0.bin,-6.971747875,0.000937133,0,True,0.000937572,0.000937572
11,it1_B063,user_interrupts,0,benign,0,config_063/vfpga_c063_0.bin,-6.994164944,0.000916378,0,True,0.000916798,0.000916798
12,it2_B018,user_interrupts,0,benign,0,config_018/vfpga_c018_0.bin,2.680108547,0.935842641,1,False,2.746416482,2.746416482
13,it2_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-5.082835674,0.006164065,0,True,0.006183141,0.006183141
14,it2_B023,hello_world_nodbg,0,benign,0,config_023/vfpga_c023_0.bin,-8.559871674,0.000191607,0,True,0.000191626,0.000191626
15,it2_B033,user_interrupts,0,benign,0,config_033/vfpga_c033_0.bin,-7.606744289,0.000496841,0,True,0.000496964,0.000496964
16,it2_B034,perf_fpga,0,benign,0,config_034/vfpga_c034_0.bin,-1.094253421,0.250818178,0,True,0.288773572,0.288773572
17,it2_B036,euclidean,0,benign,0,config_036/vfpga_c036_0.bin,4.811892509,0.991933149,1,False,4.819992074,4.819992074
18,it2_B040,multitenancy_aes_nodbg,0,benign,0,config_040/vfpga_c040_0.bin,-7.212017536,0.000737124,0,True,0.000737395,0.000737395
