experiment_name,phase,status,tier,input_resolution,num_layers,conv_filters,final_feature_map_shape,final_avg_pool,final_pool_area,final_pool_work,weight_bits,activation_bits,pruning_target,actual_global_sparsity,actual_sparsity_per_layer,nonzero_parameter_count,reuse_factor,software_accuracy,software_auc,software_pr_auc,software_precision,software_recall,software_f1,false_positive_rate,false_negative_rate,confusion_matrix,keras_hls4ml_prediction_agreement,changed_predictions,mean_output_difference,max_output_difference,hls4ml_conversion_status,hls4ml_csim_status,synthesis_status,LUT,FF,BRAM,DSP,latency,clock_period,failure_stage,failure_reason,run_root,hls_sweep_root,config_path
res512_layers5_W4A4_P0_RFbase,4,not_run,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,4,4,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W4A4_P0_RFbase_1c76589768d4,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W4A4_P0_RFbase_1c76589768d4/hls_sweeps/RFbase_hls_387d672ff31f,configs/hls4ml_expand_sweep/res512_layers5_W4A4_P0_RFbase.yaml
res512_layers5_W6A6_P0_RFbase,4,not_run,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,6,6,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W6A6_P0_RFbase_2bdae20a81a3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W6A6_P0_RFbase_2bdae20a81a3/hls_sweeps/RFbase_hls_693c06d2e753,configs/hls4ml_expand_sweep/res512_layers5_W6A6_P0_RFbase.yaml
res512_layers5_W6A6_P25_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,6,6,25,0.24952763344355222,"{""conv0"": 0.25, ""conv1"": 0.25, ""conv2"": 0.25, ""conv3"": 0.25, ""conv4"": 0.25, ""output_dense"": 0.0}",12710,1,0.8823529411764706,0.9696349127886449,0.9710019163051757,0.9252336448598131,0.8319327731092437,0.8761061946902655,0.06722689075630252,0.16806722689075632,"[[111, 8], [20, 99]]",0.9583333333333334,2,0.15716552734375,0.666748046875,success,success,success,374840,99104,165,6,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P25_RFbase_9c49747e899a,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P25_RFbase_9c49747e899a/hls_sweeps/RFbase_hls_e30026c46e30,configs/hls4ml_expand_sweep/res512_layers5_W6A6_P25_RFbase.yaml
res512_layers5_W6A6_P50_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,6,6,50,0.49905526688710444,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""output_dense"": 0.0}",8484,1,0.9033613445378151,0.9687875150060025,0.9732699927424943,0.9,0.907563025210084,0.9037656903765691,0.10084033613445378,0.09243697478991597,"[[107, 12], [11, 108]]",1.0,0,0.1393178254365921,0.34228515625,success,success,success,298133,94042,165,9,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P50_RFbase_b3a84e97cfdd,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P50_RFbase_b3a84e97cfdd/hls_sweeps/RFbase_hls_d0472c566df0,configs/hls4ml_expand_sweep/res512_layers5_W6A6_P50_RFbase.yaml
res512_layers5_W6A6_P75_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,6,6,75,0.7485829003306566,"{""conv0"": 0.75, ""conv1"": 0.75, ""conv2"": 0.75, ""conv3"": 0.75, ""conv4"": 0.75, ""output_dense"": 0.0}",4258,1,0.7142857142857143,0.8348280488666054,0.8513996004844555,0.6808510638297872,0.8067226890756303,0.7384615384615385,0.37815126050420167,0.19327731092436976,"[[74, 45], [23, 96]]",0.9166666666666666,4,0.1530659943819046,0.48486328125,success,success,success,209458,80927,165,6,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P75_RFbase_8d88712125f5,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W6A6_P75_RFbase_8d88712125f5/hls_sweeps/RFbase_hls_8de234a38f77,configs/hls4ml_expand_sweep/res512_layers5_W6A6_P75_RFbase.yaml
res512_layers5_W8A8_P0_RFbase,4,not_run,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,8,8,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W8A8_P0_RFbase_7854045b5bf0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_qat/res512_layers5_W8A8_P0_RFbase_7854045b5bf0/hls_sweeps/RFbase_hls_8a000a8593f0,configs/hls4ml_expand_sweep/res512_layers5_W8A8_P0_RFbase.yaml
res512_layers5_W8A8_P25_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,8,8,25,0.24952763344355222,"{""conv0"": 0.25, ""conv1"": 0.25, ""conv2"": 0.25, ""conv3"": 0.25, ""conv4"": 0.25, ""output_dense"": 0.0}",12710,1,0.9117647058823529,0.975142998375821,0.9738633588936648,0.9224137931034483,0.8991596638655462,0.9106382978723404,0.07563025210084033,0.10084033613445378,"[[110, 9], [12, 107]]",1.0,0,0.07732931524515152,0.220062255859375,success,success,success,558110,147234,193,507,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P25_RFbase_7a344579b715,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P25_RFbase_7a344579b715/hls_sweeps/RFbase_hls_8650ca4e2d5a,configs/hls4ml_expand_sweep/res512_layers5_W8A8_P25_RFbase.yaml
res512_layers5_W8A8_P50_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,8,8,50,0.49905526688710444,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""output_dense"": 0.0}",8484,1,0.9117647058823529,0.9778970411694089,0.9786892724814791,0.9152542372881356,0.907563025210084,0.9113924050632911,0.08403361344537816,0.09243697478991597,"[[109, 10], [11, 108]]",0.9583333333333334,2,0.06744924932718277,0.2032928466796875,success,success,success,448657,128791,193,57,1065431,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P50_RFbase_41823bb51a9d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P50_RFbase_41823bb51a9d/hls_sweeps/RFbase_hls_5a83a4d63487,configs/hls4ml_expand_sweep/res512_layers5_W8A8_P50_RFbase.yaml
res512_layers5_W8A8_P75_RFbase,4.5,success,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,8,8,75,0.7485829003306566,"{""conv0"": 0.75, ""conv1"": 0.75, ""conv2"": 0.75, ""conv3"": 0.75, ""conv4"": 0.75, ""output_dense"": 0.0}",4258,1,0.8235294117647058,0.9183673469387754,0.9239164805175876,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.23529411764705882,0.11764705882352941,"[[91, 28], [14, 105]]",1.0,0,0.029964447021484375,0.0819854736328125,success,success,success,291739,101584,193,30,799176,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P75_RFbase_8ce88b406c03,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers5_W8A8_P75_RFbase_8ce88b406c03/hls_sweeps/RFbase_hls_d4053feb820b,configs/hls4ml_expand_sweep/res512_layers5_W8A8_P75_RFbase.yaml
res512_layers5_WfloatAfloat_P0_RFbase,1,not_run,green,512,5,"[8, 16, 24, 24, 32]",8x8x32,"[8, 8]",64,2048,float,float,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_float/res512_layers5_WfloatAfloat_P0_RFbase_b6042ca43e4f,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_expand_sweep/cnn_small_hls_opt_img512/notebook_float/res512_layers5_WfloatAfloat_P0_RFbase_b6042ca43e4f/hls_sweeps/RFbase_hls_802d8fa8f8a0,configs/hls4ml_expand_sweep/res512_layers5_WfloatAfloat_P0_RFbase.yaml
