experiment_name,phase,status,tier,input_resolution,num_layers,conv_filters,final_feature_map_shape,final_avg_pool,final_pool_area,final_pool_work,weight_bits,activation_bits,pruning_target,actual_global_sparsity,actual_sparsity_per_layer,nonzero_parameter_count,reuse_factor,software_accuracy,software_auc,software_pr_auc,software_precision,software_recall,software_f1,false_positive_rate,false_negative_rate,confusion_matrix,keras_hls4ml_prediction_agreement,changed_predictions,mean_output_difference,max_output_difference,hls4ml_conversion_status,hls4ml_csim_status,synthesis_status,LUT,FF,BRAM,DSP,latency,clock_period,failure_stage,failure_reason,run_root,hls_sweep_root,config_path
res128_layers6_W8A8_P0_RFbase,4,success,green,128,6,"[8, 16, 24, 24, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""output_dense"": 0.0}",26152,1,0.8025210084033614,0.8928394887366711,0.9058812863313969,0.8214285714285714,0.773109243697479,0.7965367965367965,0.16806722689075632,0.226890756302521,"[[99, 20], [27, 92]]",0.9791666666666666,1,0.08001708984375,0.2958984375,success,success,success,847402,178941,140,1211,69709,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_qat/res128_layers6_W8A8_P0_RFbase_94343a3be5ee,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_qat/res128_layers6_W8A8_P0_RFbase_94343a3be5ee/hls_sweeps/RFbase_hls_86552ac23fd4,configs/hls4ml_selected_feasible_candidates/res128_layers6_W8A8_P0_RFbase.yaml
res256_layers6_W8A8_P0_RFbase,4,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""output_dense"": 0.0}",26152,1,0.9243697478991597,0.9784619730245038,0.9826725399905043,0.954954954954955,0.8907563025210085,0.9217391304347826,0.04201680672268908,0.1092436974789916,"[[114, 5], [13, 106]]",1.0,0,0.1142069473862648,0.3076171875,success,success,success,855643,180267,193,1179,270413,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_layer6_ext/cnn_small_hls_opt_img256/notebook_qat/res256_layers6_W8A8_P0_RFbase_113ad7c2b86d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_layer6_ext/cnn_small_hls_opt_img256/notebook_qat/res256_layers6_W8A8_P0_RFbase_113ad7c2b86d/hls_sweeps/RFbase_hls_2bcf4008edf4,configs/hls4ml_selected_feasible_candidates/res256_layers6_W8A8_P0_RFbase.yaml
res256_layers7_W8A8_P0_RFbase,4,success,green,256,7,"[8, 16, 24, 24, 32, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""conv6"": 0.0, ""output_dense"": 0.0}",35368,1,0.957983193277311,0.9946331473765977,0.9945901717415856,0.9658119658119658,0.9495798319327731,0.9576271186440678,0.03361344537815126,0.05042016806722689,"[[115, 4], [6, 113]]",1.0,0,0.1371256560087204,0.470703125,success,success,success,1119228,231904,193,1626,270413,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_qat/res256_layers7_W8A8_P0_RFbase_95b8b79b6e62,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_qat/res256_layers7_W8A8_P0_RFbase_95b8b79b6e62/hls_sweeps/RFbase_hls_0df39a149d25,configs/hls4ml_selected_feasible_candidates/res256_layers7_W8A8_P0_RFbase.yaml
res512_layers7_W8A8_P0_RFbase,4,success,green,512,7,"[8, 16, 24, 24, 32, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""conv3"": 0.0, ""conv4"": 0.0, ""conv5"": 0.0, ""conv6"": 0.0, ""output_dense"": 0.0}",35368,1,0.9789915966386554,0.9959748605324483,0.9952834344372203,0.9596774193548387,1.0,0.9794238683127572,0.04201680672268908,0.0,"[[114, 5], [0, 119]]",0.9791666666666666,1,0.1114501953125,0.298583984375,success,success,success,1120644,233573,246,1651,1065431,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W8A8_P0_RFbase_052d667dde7d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W8A8_P0_RFbase_052d667dde7d/hls_sweeps/RFbase_hls_74a532d04442,configs/hls4ml_selected_feasible_candidates/res512_layers7_W8A8_P0_RFbase.yaml
res256_layers6_W8A8_P50_RF1,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,1,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,550498,140473,193,455,202814,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF1_hls_0b76287d64be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF1.yaml
res256_layers6_W8A8_P50_RF16,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,16,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,399861,132792,201,327,743609,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF16_hls_2ae4f9f993ba,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF16.yaml
res256_layers6_W8A8_P50_RF2,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,2,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,551688,210022,201,2610,202814,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF2_hls_03b2e6380d64,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF2.yaml
res256_layers6_W8A8_P50_RF32,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,32,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,380490,137196,201,164,1081609,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF32_hls_a52a4f5c8eb0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF32.yaml
res256_layers6_W8A8_P50_RF4,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,4,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,480508,161915,201,1305,270412,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF4_hls_4d37d781c0e9,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF4.yaml
res256_layers6_W8A8_P50_RF8,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,8,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,433611,140574,201,653,473209,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RF8_hls_6a8b77936ad4,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/configs/hls4ml_selected_feasible_candidates_rf_p50_existing/all/res256_layers6_W8A8_P50_RF8.yaml
