experiment_name,phase,tier,status,requested_stages,completed_stages,failure_stage,failure_reason,run_root,hls_sweep_root,config_path,started_at,finished_at
res256_layers6_W8A8_P0_RFbase,4,green,success,"train,hls","train,hls",,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_layer6_ext/cnn_small_hls_opt_img256/notebook_qat/res256_layers6_W8A8_P0_RFbase_113ad7c2b86d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_layer6_ext/cnn_small_hls_opt_img256/notebook_qat/res256_layers6_W8A8_P0_RFbase_113ad7c2b86d/hls_sweeps/RFbase_hls_2bcf4008edf4,configs/hls4ml_selected_feasible_candidates/res256_layers6_W8A8_P0_RFbase.yaml,2026-05-04 14:10:59,2026-05-05 00:19:48
res128_layers6_W8A8_P50_RFbase,4.5,green,failed,"train,hls",,train,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_010837/phase45_logs/res128_layers6_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_f91e4f03fa27,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_f91e4f03fa27/hls_sweeps/RFbase_hls_941fd6b85a0f,configs/hls4ml_selected_feasible_candidates/res128_layers6_W8A8_P50_RFbase.yaml,2026-05-11 01:09:49,2026-05-11 03:08:26
res256_layers6_W8A8_P50_RFbase,4.5,green,failed,"train,hls",,train,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_010837/phase45_logs/res256_layers6_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_e7705f9077f8/hls_sweeps/RFbase_hls_8e1c80ea3044,configs/hls4ml_selected_feasible_candidates/res256_layers6_W8A8_P50_RFbase.yaml,2026-05-11 01:09:50,2026-05-11 03:19:44
res256_layers7_W8A8_P50_RFbase,4.5,green,failed,"train,hls",,train,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_010837/phase45_logs/res256_layers7_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RFbase_hls_2df9ac42eecb,configs/hls4ml_selected_feasible_candidates/res256_layers7_W8A8_P50_RFbase.yaml,2026-05-11 01:09:50,2026-05-11 03:31:31
res512_layers7_W8A8_P50_RFbase,4.5,green,failed,"train,hls",,train,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_010837/phase45_logs/res512_layers7_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_b3a09a3d898b,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_b3a09a3d898b/hls_sweeps/RFbase_hls_8ae28252abeb,configs/hls4ml_selected_feasible_candidates/res512_layers7_W8A8_P50_RFbase.yaml,2026-05-11 01:09:50,2026-05-11 03:54:49
res128_layers6_W8A8_P0_RFbase,4,green,success,"train,hls","train,hls",,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_qat/res128_layers6_W8A8_P0_RFbase_94343a3be5ee,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_qat/res128_layers6_W8A8_P0_RFbase_94343a3be5ee/hls_sweeps/RFbase_hls_86552ac23fd4,configs/hls4ml_selected_feasible_candidates/res128_layers6_W8A8_P0_RFbase.yaml,2026-05-11 14:32:36,2026-05-11 16:48:31
res256_layers7_W8A8_P0_RFbase,4,green,success,"train,hls","train,hls",,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_qat/res256_layers7_W8A8_P0_RFbase_95b8b79b6e62,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_qat/res256_layers7_W8A8_P0_RFbase_95b8b79b6e62/hls_sweeps/RFbase_hls_0df39a149d25,configs/hls4ml_selected_feasible_candidates/res256_layers7_W8A8_P0_RFbase.yaml,2026-05-11 14:32:36,2026-05-11 17:16:07
res512_layers7_W8A8_P0_RFbase,4,green,success,"train,hls","train,hls",,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W8A8_P0_RFbase_052d667dde7d,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_qat/res512_layers7_W8A8_P0_RFbase_052d667dde7d/hls_sweeps/RFbase_hls_74a532d04442,configs/hls4ml_selected_feasible_candidates/res512_layers7_W8A8_P0_RFbase.yaml,2026-05-11 14:32:36,2026-05-11 17:33:24
res128_layers6_W8A8_P50_RFbase,4.5,green,failed,hls,,hls,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_143225_phase4_recovery/phase45_hls_logs/res128_layers6_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_4f5d2caa242e,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_4f5d2caa242e/hls_sweeps/RFbase_hls_47614389adf7,configs/hls4ml_selected_feasible_candidates/res128_layers6_W8A8_P50_RFbase.yaml,2026-05-11 17:34:04,2026-05-11 17:34:19
res256_layers6_W8A8_P50_RFbase,4.5,green,failed,hls,,hls,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_143225_phase4_recovery/phase45_hls_logs/res256_layers6_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_3c171ce763fb,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_3c171ce763fb/hls_sweeps/RFbase_hls_703bfdd3f151,configs/hls4ml_selected_feasible_candidates/res256_layers6_W8A8_P50_RFbase.yaml,2026-05-11 17:34:04,2026-05-11 17:34:19
res256_layers7_W8A8_P50_RFbase,4.5,green,failed,hls,,hls,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_143225_phase4_recovery/phase45_hls_logs/res256_layers7_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_3f1db09b4d86,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_3f1db09b4d86/hls_sweeps/RFbase_hls_073972ce50e0,configs/hls4ml_selected_feasible_candidates/res256_layers7_W8A8_P50_RFbase.yaml,2026-05-11 17:34:04,2026-05-11 17:34:19
res512_layers7_W8A8_P50_RFbase,4.5,green,failed,hls,,hls,exit_code=1; log=logs/experiment_selected_feasible_candidates/20260511_143225_phase4_recovery/phase45_hls_logs/res512_layers7_W8A8_P50_RFbase.log,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_c0be974154f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_c0be974154f8/hls_sweeps/RFbase_hls_021ab1017c89,configs/hls4ml_selected_feasible_candidates/res512_layers7_W8A8_P50_RFbase.yaml,2026-05-11 17:34:04,2026-05-11 17:34:19
