epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
1,0.694378,0.693578,0.693578,0.659725,0.727430,0.250215,0.500000,0.500000,0.000000,0.000000,0.892361,0.884293,0.000000,0.000000,0.016922,0.483007,0.483149,0.483043,0.854167,0.867925,0.693572,0.693572,0.659730,0.727413,0.250212,0.500000,0.500000,0.000000,0.000000,0.892361,0.882129,0.000000,0.000000,0.016917,0.483009,0.483157,0.483057,0.854167,0.867925
2,0.693835,0.693572,0.693572,0.659011,0.728134,0.250212,0.500000,0.500000,0.000000,0.000000,0.914931,0.909748,0.000000,0.000000,0.017277,0.482637,0.482809,0.482702,0.854167,0.867925,0.693566,0.693566,0.659015,0.728116,0.250209,0.500000,0.500000,0.000000,0.000000,0.911458,0.904833,0.000000,0.000000,0.017271,0.482640,0.482818,0.482710,0.875000,0.884615
3,0.693498,0.693081,0.693081,0.670190,0.715972,0.249967,0.500000,0.500000,0.000000,0.000000,0.899306,0.887804,0.000000,0.000000,0.011447,0.488389,0.488717,0.488464,0.875000,0.888889,0.693065,0.693065,0.670186,0.715943,0.249959,0.500000,0.500000,0.000000,0.000000,0.914931,0.905374,0.000000,0.000000,0.011441,0.488386,0.488731,0.488546,0.875000,0.880000
4,0.692995,0.692609,0.692609,0.682048,0.703171,0.249731,0.500000,0.500000,0.000000,0.000000,0.918403,0.910546,0.000000,0.000000,0.005284,0.494419,0.495013,0.494729,0.875000,0.880000,0.692579,0.692579,0.682019,0.703138,0.249716,0.500000,0.500000,0.000000,0.000000,0.930556,0.924409,0.000000,0.000000,0.005283,0.494405,0.495030,0.494696,0.895833,0.901961
5,0.692822,0.692253,0.692253,0.694402,0.690104,0.249553,0.541667,0.541667,0.521739,1.000000,0.902778,0.891345,0.685714,0.208514,0.040564,0.500627,0.501524,0.501099,0.875000,0.880000,0.692206,0.692206,0.694348,0.690065,0.249530,0.562500,0.562500,0.533333,1.000000,0.921875,0.911706,0.695652,0.258199,0.061397,0.500600,0.501544,0.501052,0.895833,0.901961
6,0.692767,0.692278,0.692278,0.685002,0.699554,0.249565,0.500000,0.500000,0.000000,0.000000,0.921875,0.916765,0.000000,0.000000,0.003641,0.495910,0.496807,0.496424,0.875000,0.880000,0.692234,0.692234,0.684948,0.699520,0.249543,0.500000,0.500000,0.000000,0.000000,0.932292,0.927881,0.000000,0.000000,0.003646,0.495883,0.496824,0.496283,0.895833,0.901961
7,0.692273,0.692150,0.692150,0.681869,0.702431,0.249502,0.500000,0.500000,0.000000,0.000000,0.937500,0.937694,0.000000,0.000000,0.005146,0.494329,0.495380,0.494995,0.875000,0.880000,0.692101,0.692101,0.681803,0.702399,0.249477,0.500000,0.500000,0.000000,0.000000,0.953125,0.951710,0.000000,0.000000,0.005155,0.494295,0.495396,0.494995,0.895833,0.897959
8,0.691992,0.691563,0.691563,0.702160,0.680965,0.249208,0.500000,0.500000,0.500000,1.000000,0.923611,0.919970,0.666667,0.000000,0.005307,0.504486,0.506129,0.505441,0.875000,0.880000,0.691489,0.691489,0.702050,0.680929,0.249171,0.500000,0.500000,0.500000,1.000000,0.946181,0.945200,0.666667,0.000000,0.005289,0.504431,0.506147,0.505234,0.895833,0.901961
9,0.692366,0.691421,0.691421,0.695887,0.686956,0.249137,0.520833,0.520833,0.510638,1.000000,0.947917,0.948605,0.676056,0.145865,0.018584,0.501367,0.503106,0.502635,0.875000,0.869565,0.691343,0.691343,0.695755,0.686931,0.249098,0.520833,0.520833,0.510638,1.000000,0.963542,0.964409,0.676056,0.145865,0.018610,0.501302,0.503118,0.502077,0.895833,0.901961
10,0.691820,0.690957,0.690957,0.718480,0.663434,0.248906,0.500000,0.500000,0.500000,1.000000,0.953125,0.954739,0.666667,0.000000,0.013793,0.512506,0.515080,0.514409,0.875000,0.869565,0.690850,0.690850,0.718290,0.663410,0.248852,0.500000,0.500000,0.500000,1.000000,0.960069,0.961716,0.666667,0.000000,0.013753,0.512413,0.515093,0.513666,0.895833,0.901961
