epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
1,0.693398,0.693035,0.693035,0.688617,0.697452,0.249944,0.500000,0.500000,0.000000,0.000000,0.855903,0.900910,0.000000,0.000000,0.002209,0.497730,0.497852,0.497858,0.833333,0.800000,0.693034,0.693034,0.688609,0.697459,0.249943,0.500000,0.500000,0.000000,0.000000,0.866319,0.908497,0.000000,0.000000,0.002213,0.497726,0.497849,0.497820,0.854167,0.829268
2,0.693208,0.693005,0.693005,0.688185,0.697824,0.249929,0.500000,0.500000,0.000000,0.000000,0.855903,0.901037,0.000000,0.000000,0.002410,0.497513,0.497667,0.497635,0.854167,0.829268,0.693004,0.693004,0.688178,0.697830,0.249929,0.500000,0.500000,0.000000,0.000000,0.862847,0.903229,0.000000,0.000000,0.002413,0.497509,0.497664,0.497634,0.854167,0.829268
3,0.693069,0.692951,0.692951,0.692786,0.693117,0.249902,0.833333,0.833333,1.000000,0.666667,0.847222,0.896798,0.800000,0.707107,0.333182,0.499819,0.500015,0.499987,0.854167,0.829268,0.692951,0.692951,0.692777,0.693124,0.249902,0.812500,0.812500,1.000000,0.625000,0.845486,0.893665,0.769231,0.674200,0.312348,0.499815,0.500012,0.499969,0.854167,0.829268
4,0.693199,0.692919,0.692919,0.697449,0.688390,0.249886,0.500000,0.500000,0.500000,1.000000,0.842014,0.893666,0.666667,0.000000,0.002265,0.502146,0.502384,0.502350,0.854167,0.829268,0.692917,0.692917,0.697437,0.688397,0.249885,0.500000,0.500000,0.500000,1.000000,0.843750,0.892769,0.666667,0.000000,0.002261,0.502141,0.502381,0.502315,0.854167,0.829268
5,0.693153,0.692898,0.692898,0.697060,0.688735,0.249875,0.500000,0.500000,0.500000,1.000000,0.847222,0.896199,0.666667,0.000000,0.002082,0.501953,0.502211,0.502174,0.854167,0.829268,0.692895,0.692895,0.697048,0.688743,0.249874,0.500000,0.500000,0.500000,1.000000,0.848958,0.894985,0.666667,0.000000,0.002077,0.501947,0.502207,0.502143,0.854167,0.829268
6,0.693169,0.692930,0.692930,0.688139,0.697722,0.249892,0.500000,0.500000,0.000000,0.000000,0.868056,0.907135,0.000000,0.000000,0.002396,0.497489,0.497718,0.497671,0.854167,0.829268,0.692928,0.692928,0.688127,0.697728,0.249890,0.500000,0.500000,0.000000,0.000000,0.881944,0.913664,0.000000,0.000000,0.002401,0.497484,0.497715,0.497669,0.854167,0.829268
7,0.693162,0.692848,0.692848,0.697935,0.687761,0.249850,0.500000,0.500000,0.500000,1.000000,0.854167,0.898404,0.666667,0.000000,0.002544,0.502388,0.502700,0.502649,0.854167,0.829268,0.692844,0.692844,0.697918,0.687771,0.249848,0.500000,0.500000,0.500000,1.000000,0.854167,0.897312,0.666667,0.000000,0.002538,0.502380,0.502696,0.502610,0.854167,0.829268
8,0.693113,0.692847,0.692847,0.692607,0.693088,0.249850,0.833333,0.833333,1.000000,0.666667,0.868056,0.906436,0.800000,0.707107,0.333112,0.499730,0.500030,0.499971,0.854167,0.829268,0.692843,0.692843,0.692589,0.693098,0.249848,0.812500,0.812500,1.000000,0.625000,0.878472,0.910150,0.769231,0.674200,0.312276,0.499721,0.500025,0.499970,0.854167,0.829268
9,0.693115,0.692802,0.692802,0.694071,0.691534,0.249828,0.500000,0.500000,0.500000,1.000000,0.875000,0.909301,0.666667,0.000000,0.000634,0.500462,0.500807,0.500736,0.854167,0.829268,0.692797,0.692797,0.694049,0.691545,0.249825,0.500000,0.500000,0.500000,1.000000,0.883681,0.913157,0.666667,0.000000,0.000626,0.500451,0.500802,0.500734,0.854167,0.829268
10,0.693416,0.692756,0.692756,0.698768,0.686744,0.249804,0.500000,0.500000,0.500000,1.000000,0.871528,0.907209,0.666667,0.000000,0.003007,0.502802,0.503212,0.503132,0.854167,0.829268,0.692750,0.692750,0.698744,0.686756,0.249802,0.500000,0.500000,0.500000,1.000000,0.876736,0.908542,0.666667,0.000000,0.002998,0.502791,0.503206,0.503119,0.854167,0.829268
