epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
1,0.694951,0.692836,0.692836,0.675218,0.711221,0.249845,0.510638,0.500000,0.000000,0.000000,0.931159,0.940107,0.000000,0.000000,0.001637,0.490954,0.491045,0.491009,0.872340,0.857143,0.692822,0.692822,0.675209,0.711202,0.249838,0.510638,0.500000,0.000000,0.000000,0.958333,0.957725,0.000000,0.000000,0.001639,0.490950,0.491054,0.490981,0.893617,0.901961
2,0.694541,0.692902,0.692902,0.688237,0.697770,0.249877,0.510638,0.500000,0.000000,0.000000,0.945652,0.952428,0.000000,0.000000,0.008253,0.497539,0.497694,0.497603,0.872340,0.869565,0.692882,0.692882,0.688225,0.697740,0.249867,0.510638,0.500000,0.000000,0.000000,0.969203,0.971367,0.000000,0.000000,0.008257,0.497533,0.497709,0.497593,0.914894,0.916667
3,0.694484,0.692821,0.692821,0.670059,0.716572,0.249837,0.510638,0.500000,0.000000,0.000000,0.958333,0.962906,0.000000,0.000000,0.000990,0.488322,0.488424,0.488369,0.893617,0.888889,0.692811,0.692811,0.670057,0.716554,0.249832,0.510638,0.500000,0.000000,0.000000,0.976449,0.980115,0.000000,0.000000,0.000986,0.488320,0.488432,0.488381,0.936170,0.933333
4,0.693469,0.692830,0.692830,0.691939,0.693761,0.249841,0.510638,0.500000,0.000000,0.000000,0.978261,0.978205,0.000000,0.000000,0.010179,0.499395,0.499693,0.499502,0.936170,0.938776,0.692825,0.692825,0.691953,0.693736,0.249839,0.510638,0.500000,0.000000,0.000000,0.978261,0.978706,0.000000,0.000000,0.010189,0.499402,0.499706,0.499542,0.936170,0.936170
5,0.693393,0.692847,0.692847,0.700078,0.685302,0.249850,0.489362,0.500000,0.489362,1.000000,0.978261,0.978028,0.657143,0.000000,0.014329,0.503454,0.503938,0.503624,0.914894,0.920000,0.692845,0.692845,0.700091,0.685284,0.249849,0.489362,0.500000,0.489362,1.000000,0.981884,0.982202,0.657143,0.000000,0.014337,0.503460,0.503947,0.503695,0.936170,0.936170
6,0.696093,0.692812,0.692812,0.697430,0.687994,0.249832,0.489362,0.500000,0.489362,1.000000,0.981884,0.981257,0.657143,0.000000,0.012993,0.502137,0.502583,0.502306,0.936170,0.938776,0.692809,0.692809,0.697438,0.687980,0.249831,0.489362,0.500000,0.489362,1.000000,0.983696,0.984084,0.657143,0.000000,0.012999,0.502141,0.502590,0.502356,0.936170,0.936170
7,0.693559,0.692770,0.692770,0.671488,0.714978,0.249812,0.510638,0.500000,0.000000,0.000000,0.992754,0.992251,0.000000,0.000000,0.000236,0.489053,0.489203,0.489117,0.978723,0.978723,0.692767,0.692767,0.671485,0.714974,0.249810,0.510638,0.500000,0.000000,0.000000,0.998188,0.998188,0.000000,0.000000,0.000235,0.489051,0.489205,0.489117,0.978723,0.978723
8,0.694228,0.692747,0.692747,0.667007,0.719608,0.249800,0.510638,0.500000,0.000000,0.000000,0.996377,0.996298,0.000000,0.000000,0.002513,0.486757,0.486943,0.486850,0.978723,0.978723,0.692746,0.692746,0.667012,0.719600,0.249800,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.002510,0.486760,0.486947,0.486852,1.000000,1.000000
9,0.693377,0.692588,0.692588,0.676963,0.708892,0.249720,0.510638,0.500000,0.000000,0.000000,0.994565,0.994322,0.000000,0.000000,0.002650,0.491842,0.492189,0.492008,0.978723,0.978723,0.692593,0.692593,0.676985,0.708879,0.249723,0.510638,0.500000,0.000000,0.000000,0.994565,0.994322,0.000000,0.000000,0.002659,0.491853,0.492196,0.492022,0.978723,0.978723
10,0.693986,0.692627,0.692627,0.699181,0.685788,0.249740,0.489362,0.500000,0.489362,1.000000,0.989130,0.988852,0.657143,0.000000,0.013982,0.503008,0.503693,0.503317,0.957447,0.958333,0.692634,0.692634,0.699218,0.685764,0.249743,0.489362,0.500000,0.489362,1.000000,0.983696,0.982851,0.657143,0.000000,0.013997,0.503026,0.503705,0.503320,0.936170,0.938776
11,0.693270,0.692478,0.692478,0.696203,0.688590,0.249665,0.489362,0.500000,0.489362,1.000000,0.989130,0.988852,0.657143,0.000000,0.012535,0.501526,0.502284,0.501866,0.957447,0.958333,0.692487,0.692487,0.696237,0.688574,0.249670,0.489362,0.500000,0.489362,1.000000,0.989130,0.987789,0.657143,0.000000,0.012548,0.501542,0.502292,0.501876,0.978723,0.978723
12,0.692910,0.692196,0.692196,0.683483,0.701289,0.249525,0.510638,0.500000,0.000000,0.000000,0.996377,0.996298,0.000000,0.000000,0.006175,0.495144,0.495946,0.495497,0.978723,0.978723,0.692211,0.692211,0.683502,0.701299,0.249532,0.510638,0.500000,0.000000,0.000000,0.989130,0.987789,0.000000,0.000000,0.006177,0.495154,0.495941,0.495504,0.978723,0.978723
13,0.694924,0.695364,0.695364,0.780965,0.606041,0.251112,0.489362,0.500000,0.489362,1.000000,0.971014,0.971498,0.657143,0.000000,0.054372,0.542034,0.545508,0.543142,0.914894,0.920000,0.695369,0.695369,0.781000,0.606015,0.251114,0.489362,0.500000,0.489362,1.000000,0.963768,0.962499,0.657143,0.000000,0.054388,0.542050,0.545522,0.543142,0.914894,0.920000
14,0.691088,0.691816,0.691816,0.680309,0.703823,0.249334,0.510638,0.500000,0.000000,0.000000,0.998188,0.998188,0.000000,0.000000,0.004741,0.493539,0.494691,0.494052,0.978723,0.978723,0.691842,0.691842,0.680343,0.703842,0.249348,0.510638,0.500000,0.000000,0.000000,0.992754,0.992251,0.000000,0.000000,0.004745,0.493557,0.494681,0.494000,0.978723,0.978723
15,0.692045,0.691211,0.691211,0.702425,0.679510,0.249032,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.016356,0.504617,0.506866,0.505635,0.978723,0.978723,0.691243,0.691243,0.702496,0.679501,0.249048,0.489362,0.500000,0.489362,1.000000,0.985507,0.983707,0.657143,0.000000,0.016376,0.504652,0.506870,0.505618,0.957447,0.958333
16,0.695158,0.691048,0.691048,0.718206,0.662709,0.248951,0.489362,0.500000,0.489362,1.000000,0.992754,0.992251,0.657143,0.000000,0.024519,0.512373,0.515454,0.513745,0.978723,0.978723,0.691077,0.691077,0.718275,0.662697,0.248966,0.489362,0.500000,0.489362,1.000000,0.980072,0.976699,0.657143,0.000000,0.024539,0.512406,0.515461,0.513696,0.957447,0.958333
17,0.691754,0.692228,0.692228,0.668650,0.716831,0.249541,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.001420,0.487600,0.488297,0.487915,1.000000,1.000000,0.692242,0.692242,0.668662,0.716847,0.249548,0.510638,0.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.001421,0.487606,0.488290,0.487874,1.000000,1.000000
