epoch,train_loss,val_bce_loss,val_log_loss,val_benign_log_loss,val_standalone_log_loss,val_brier_score,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_roc_auc,val_pr_auc,val_f1,val_mcc,val_ece,val_benign_mean_score,val_standalone_mean_score,val_optimal_threshold,val_optimal_accuracy,val_optimal_f1,aug_val_bce_loss,aug_val_log_loss,aug_val_benign_log_loss,aug_val_standalone_log_loss,aug_val_brier_score,aug_val_accuracy,aug_val_balanced_accuracy,aug_val_precision,aug_val_recall,aug_val_roc_auc,aug_val_pr_auc,aug_val_f1,aug_val_mcc,aug_val_ece,aug_val_benign_mean_score,aug_val_standalone_mean_score,aug_val_optimal_threshold,aug_val_optimal_accuracy,aug_val_optimal_f1
1,0.693859,0.693204,0.693204,0.677070,0.709338,0.250028,0.500000,0.500000,0.000000,0.000000,0.898438,0.906973,0.000000,0.000000,0.008067,0.491896,0.491970,0.491934,0.833333,0.833333,0.693206,0.693206,0.677109,0.709302,0.250029,0.500000,0.500000,0.000000,0.000000,0.885417,0.905438,0.000000,0.000000,0.008048,0.491916,0.491987,0.491948,0.812500,0.808511
2,0.693751,0.693317,0.693317,0.671626,0.715008,0.250085,0.500000,0.500000,0.000000,0.000000,0.909722,0.918735,0.000000,0.000000,0.010845,0.489123,0.489188,0.489157,0.854167,0.844444,0.693321,0.693321,0.671675,0.714967,0.250087,0.500000,0.500000,0.000000,0.000000,0.847222,0.875018,0.000000,0.000000,0.010822,0.489148,0.489208,0.489166,0.770833,0.784314
3,0.693195,0.693117,0.693117,0.678815,0.707420,0.249985,0.500000,0.500000,0.000000,0.000000,0.907986,0.919811,0.000000,0.000000,0.007152,0.492782,0.492914,0.492832,0.854167,0.857143,0.693121,0.693121,0.678881,0.707362,0.249987,0.500000,0.500000,0.000000,0.000000,0.873264,0.891068,0.000000,0.000000,0.007121,0.492816,0.492943,0.492883,0.791667,0.782609
4,0.693063,0.692917,0.692917,0.693503,0.692332,0.249885,0.520833,0.520833,0.510638,1.000000,0.892361,0.912444,0.676056,0.145865,0.020539,0.500178,0.500408,0.500332,0.833333,0.818182,0.692917,0.692917,0.693523,0.692310,0.249885,0.520833,0.520833,0.510638,1.000000,0.892361,0.912007,0.676056,0.145865,0.020530,0.500188,0.500419,0.500391,0.812500,0.769231
5,0.693777,0.692926,0.692926,0.693506,0.692346,0.249889,0.541667,0.541667,0.521739,1.000000,0.892361,0.911593,0.685714,0.208514,0.041376,0.500179,0.500401,0.500322,0.833333,0.826087,0.692929,0.692929,0.693550,0.692308,0.249891,0.541667,0.541667,0.521739,1.000000,0.885417,0.904625,0.685714,0.208514,0.041355,0.500202,0.500420,0.500399,0.812500,0.769231
6,0.693176,0.692917,0.692917,0.696007,0.689828,0.249885,0.500000,0.500000,0.500000,1.000000,0.897569,0.915668,0.666667,0.000000,0.001545,0.501428,0.501662,0.501588,0.833333,0.818182,0.692915,0.692915,0.696021,0.689810,0.249884,0.500000,0.500000,0.500000,1.000000,0.888889,0.908624,0.666667,0.000000,0.001553,0.501435,0.501672,0.501661,0.812500,0.769231
7,0.693107,0.692902,0.692902,0.698875,0.686930,0.249878,0.500000,0.500000,0.500000,1.000000,0.901042,0.919560,0.666667,0.000000,0.002987,0.502856,0.503119,0.503021,0.854167,0.844444,0.692901,0.692901,0.698895,0.686907,0.249877,0.500000,0.500000,0.500000,1.000000,0.894097,0.912416,0.666667,0.000000,0.002998,0.502866,0.503130,0.503021,0.833333,0.826087
8,0.693085,0.692891,0.692891,0.693900,0.691883,0.249872,0.500000,0.500000,0.500000,1.000000,0.900174,0.917846,0.666667,0.000000,0.000505,0.500376,0.500633,0.500547,0.833333,0.818182,0.692899,0.692899,0.693969,0.691828,0.249876,0.500000,0.500000,0.500000,1.000000,0.887153,0.905006,0.666667,0.000000,0.000535,0.500411,0.500660,0.500625,0.812500,0.780488
9,0.693153,0.692865,0.692865,0.696940,0.688790,0.249859,0.500000,0.500000,0.500000,1.000000,0.902778,0.920475,0.666667,0.000000,0.002038,0.501893,0.502183,0.502096,0.854167,0.837209,0.692878,0.692878,0.697022,0.688733,0.249865,0.500000,0.500000,0.500000,1.000000,0.888889,0.909200,0.666667,0.000000,0.002073,0.501934,0.502212,0.502182,0.812500,0.769231
10,0.693024,0.692830,0.692830,0.698970,0.686690,0.249841,0.500000,0.500000,0.500000,1.000000,0.907986,0.924197,0.666667,0.000000,0.003071,0.502903,0.503239,0.503127,0.854167,0.837209,0.692838,0.692838,0.699037,0.686639,0.249845,0.500000,0.500000,0.500000,1.000000,0.890625,0.910335,0.666667,0.000000,0.003101,0.502936,0.503265,0.503248,0.812500,0.769231
11,0.693192,0.692843,0.692843,0.691521,0.694165,0.249848,0.500000,0.500000,0.000000,0.000000,0.909722,0.924865,0.000000,0.000000,0.000661,0.499186,0.499491,0.499390,0.833333,0.809524,0.692859,0.692859,0.691634,0.694083,0.249856,0.500000,0.500000,0.000000,0.000000,0.887153,0.906553,0.000000,0.000000,0.000612,0.499243,0.499532,0.499505,0.812500,0.769231
12,0.693001,0.692799,0.692799,0.689790,0.695808,0.249826,0.500000,0.500000,0.000000,0.000000,0.911458,0.926432,0.000000,0.000000,0.001505,0.498318,0.498671,0.498531,0.854167,0.837209,0.692815,0.692815,0.689911,0.695719,0.249834,0.500000,0.500000,0.000000,0.000000,0.887153,0.907036,0.000000,0.000000,0.001453,0.498379,0.498716,0.498679,0.833333,0.800000
13,0.693211,0.692819,0.692819,0.686426,0.699211,0.249836,0.500000,0.500000,0.000000,0.000000,0.925347,0.935598,0.000000,0.000000,0.003197,0.496628,0.496977,0.496794,0.854167,0.851064,0.692832,0.692832,0.686540,0.699125,0.249843,0.500000,0.500000,0.000000,0.000000,0.897569,0.915470,0.000000,0.000000,0.003147,0.496685,0.497020,0.496972,0.833333,0.800000
14,0.693276,0.692761,0.692761,0.698072,0.687450,0.249807,0.500000,0.500000,0.500000,1.000000,0.909722,0.925336,0.666667,0.000000,0.002657,0.502456,0.502857,0.502716,0.854167,0.837209,0.692772,0.692772,0.698133,0.687411,0.249812,0.500000,0.500000,0.500000,1.000000,0.895833,0.914757,0.666667,0.000000,0.002682,0.502487,0.502877,0.502772,0.833333,0.809524
15,0.693554,0.692846,0.692846,0.686459,0.699233,0.249850,0.500000,0.500000,0.000000,0.000000,0.942708,0.950524,0.000000,0.000000,0.003194,0.496645,0.496966,0.496814,0.875000,0.863636,0.692864,0.692864,0.686563,0.699164,0.249858,0.500000,0.500000,0.000000,0.000000,0.902778,0.918267,0.000000,0.000000,0.003151,0.496697,0.497001,0.496967,0.833333,0.800000
