sample_id,class_label,class_name,source_type,app_id,app_name,variant_id,floorplan_id,ro_count,batch_id,config_local,config_global,shell_id,tool_version,bitstream_path,timing_status,lut_count,ff_count,bram_count,dsp_count,validation_status,file_hash,notes
B000,0,benign,base,A01,hello_world,benign,FP10,0,BENIGN_FP10,0,0,92f55e02,Vivado v.2024.2,config_000/vfpga_c000_0.bin,PASS,13718,24699,63.5,0,PASS,93a4a68e4220395a0c55cf18ba548ae36aa711ce08446af1a7b0375b51887e96,
B001,0,benign,base,A02,hls_vadd,benign,FP10,0,BENIGN_FP10,1,1,92f55e02,Vivado v.2024.2,config_001/vfpga_c001_0.bin,PASS,20307,35141,78,32,PASS,9b59993ba83f0e0171c43d7deb8c4f0eb0e82ec2859b0e29dab9acac591b8c42,
B002,0,benign,base,A03,multitenancy_aes,benign,FP10,0,BENIGN_FP10,2,2,92f55e02,Vivado v.2024.2,config_002/vfpga_c002_0.bin,PASS,35538,26893,63.5,0,PASS,84f8c04ffbad03eb415e546c85641ca5767f4833f8a12c50b63e9a8fe931ce50,
B003,0,benign,base,A04,user_interrupts,benign,FP10,0,BENIGN_FP10,3,3,92f55e02,Vivado v.2024.2,config_003/vfpga_c003_0.bin,PASS,11037,19271,50,0,PASS,699c8c2b6f5a415b8afc700f6495720dc7b81a2343cfd1d9ee19497905e40ed0,
B004,0,benign,base,A05,perf_fpga,benign,FP10,0,BENIGN_FP10,4,4,92f55e02,Vivado v.2024.2,config_004/vfpga_c004_0.bin,PASS,13734,22998,45,0,PASS,a25deadf64c1d8724fc7eb6b3615ef3078e6df23afe3111f23137df34abb1c3e,
B005,0,benign,base,A06,multithreading_aes,benign,FP10,0,BENIGN_FP10,5,5,92f55e02,Vivado v.2024.2,config_005/vfpga_c005_0.bin,PASS,26783,26897,55.5,0,PASS,3d3048fb5e570a9882b2bd984321b087b87db65fcdcf0bda01f9ba1e674a560b,
B006,0,benign,base,A07,euclidean,benign,FP10,0,BENIGN_FP10,6,6,92f55e02,Vivado v.2024.2,config_006/vfpga_c006_0.bin,PASS,20799,35668,78,35,PASS,2aa077b74787f1b75e5435dabe389d29635b9444efe28f9d9943b44ad73941e7,
B007,0,benign,base,A08,cosine,benign,FP10,0,BENIGN_FP10,7,7,92f55e02,Vivado v.2024.2,config_007/vfpga_c007_0.bin,PASS,20833,33842,78,15,PASS,2776c55cca57da670776d1bd30f766580c031127ff7afaeed49e7ff179302d31,
B008,0,benign,nodbg,V01,hello_world_nodbg,benign,FP10,0,BENIGN_FP10,8,8,92f55e02,Vivado v.2024.2,config_008/vfpga_c008_0.bin,PASS,9580,16676,34,0,PASS,14f40e75696a3ad4ed48426a9967e5883e1d6dfa1893deec67ff92d24fed8e5f,
B009,0,benign,nodbg,V02,hls_vadd_nodbg,benign,FP10,0,BENIGN_FP10,9,9,92f55e02,Vivado v.2024.2,config_009/vfpga_c009_0.bin,PASS,13868,23647,34,32,PASS,8e1a101fa982ed6a9a64b5e8632eed6da41148ce22efb41877949faae6c5ab5f,
B010,0,benign,nodbg,V03,multitenancy_aes_nodbg,benign,FP10,0,BENIGN_FP10,10,10,92f55e02,Vivado v.2024.2,config_010/vfpga_c010_0.bin,PASS,31149,18870,34,0,PASS,4c7edd744170e98cf0e9646ad8067d678e7fe77bc3a14f66ceb00bc95dca8f07,
B011,0,benign,nodbg,V04,user_interrupts_nodbg,benign,FP10,0,BENIGN_FP10,11,11,92f55e02,Vivado v.2024.2,config_011/vfpga_c011_0.bin,PASS,8372,14331,34,0,PASS,045206a4673962e979c476c52a807817a713a4e932a82314965b29b9bf077870,
B012,0,benign,nodbg,V05,perf_fpga_nodbg,benign,FP10,0,BENIGN_FP10,12,12,92f55e02,Vivado v.2024.2,config_012/vfpga_c012_0.bin,PASS,9850,17100,34,0,PASS,c28643990d982e47cc32605172d4f2c4d8bd53d5deb096772fce4d3a6ac5e036,
B013,0,benign,nodbg,V06,multithreading_aes_nodbg,benign,FP10,0,BENIGN_FP10,13,13,92f55e02,Vivado v.2024.2,config_013/vfpga_c013_0.bin,PASS,20408,20785,39,0,PASS,376668cd330abdbe331cef5734d3c7401fb8efd15b63d48430988d56c3ff3f1e,
