input_resolution,num_layers,column_group,column,status,success,failed,running,skipped_red,other,total,experiments
64,2,Baseline,P1/2/3,success,1,0,0,0,0,1,res64_layers2_WfloatAfloat_P0_RFbase
64,2,Quantization,W2A2,success,1,0,0,0,0,1,res64_layers2_W2A2_P0_RFbase
64,2,Quantization,W3A3,success,1,0,0,0,0,1,res64_layers2_W3A3_P0_RFbase
64,2,Quantization,W4A4,success,1,0,0,0,0,1,res64_layers2_W4A4_P0_RFbase
64,2,Quantization,W6A6,success,1,0,0,0,0,1,res64_layers2_W6A6_P0_RFbase
64,2,Quantization,W8A8,success,1,0,0,0,0,1,res64_layers2_W8A8_P0_RFbase
64,2,Pruning,P25,empty,0,0,0,0,0,0,
64,2,Pruning,P50,empty,0,0,0,0,0,0,
64,2,Pruning,P75,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF1,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF2,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF4,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF8,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF16,empty,0,0,0,0,0,0,
64,2,Reuse Factor,RF32,empty,0,0,0,0,0,0,
64,3,Baseline,P1/2/3,success,1,0,0,0,0,1,res64_layers3_WfloatAfloat_P0_RFbase
64,3,Quantization,W2A2,success,1,0,0,0,0,1,res64_layers3_W2A2_P0_RFbase
64,3,Quantization,W3A3,success,1,0,0,0,0,1,res64_layers3_W3A3_P0_RFbase
64,3,Quantization,W4A4,success,1,0,0,0,0,1,res64_layers3_W4A4_P0_RFbase
64,3,Quantization,W6A6,success,1,0,0,0,0,1,res64_layers3_W6A6_P0_RFbase
64,3,Quantization,W8A8,success,1,0,0,0,0,1,res64_layers3_W8A8_P0_RFbase
64,3,Pruning,P25,empty,0,0,0,0,0,0,
64,3,Pruning,P50,empty,0,0,0,0,0,0,
64,3,Pruning,P75,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF1,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF2,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF4,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF8,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF16,empty,0,0,0,0,0,0,
64,3,Reuse Factor,RF32,empty,0,0,0,0,0,0,
64,4,Baseline,P1/2/3,success,1,0,0,0,0,1,res64_layers4_WfloatAfloat_P0_RFbase
64,4,Quantization,W2A2,success,1,0,0,0,0,1,res64_layers4_W2A2_P0_RFbase
64,4,Quantization,W3A3,success,1,0,0,0,0,1,res64_layers4_W3A3_P0_RFbase
64,4,Quantization,W4A4,success,1,0,0,0,0,1,res64_layers4_W4A4_P0_RFbase
64,4,Quantization,W6A6,success,1,0,0,0,0,1,res64_layers4_W6A6_P0_RFbase
64,4,Quantization,W8A8,success,1,0,0,0,0,1,res64_layers4_W8A8_P0_RFbase
64,4,Pruning,P25,empty,0,0,0,0,0,0,
64,4,Pruning,P50,empty,0,0,0,0,0,0,
64,4,Pruning,P75,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF1,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF2,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF4,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF8,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF16,empty,0,0,0,0,0,0,
64,4,Reuse Factor,RF32,empty,0,0,0,0,0,0,
64,5,Baseline,P1/2/3,success,1,0,0,0,0,1,res64_layers5_WfloatAfloat_P0_RFbase
64,5,Quantization,W2A2,success,1,0,0,0,0,1,res64_layers5_W2A2_P0_RFbase
64,5,Quantization,W3A3,success,1,0,0,0,0,1,res64_layers5_W3A3_P0_RFbase
64,5,Quantization,W4A4,success,1,0,0,0,0,1,res64_layers5_W4A4_P0_RFbase
64,5,Quantization,W6A6,success,1,0,0,0,0,1,res64_layers5_W6A6_P0_RFbase
64,5,Quantization,W8A8,success,1,0,0,0,0,1,res64_layers5_W8A8_P0_RFbase
64,5,Pruning,P25,empty,0,0,0,0,0,0,
64,5,Pruning,P50,empty,0,0,0,0,0,0,
64,5,Pruning,P75,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF1,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF2,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF4,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF8,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF16,empty,0,0,0,0,0,0,
64,5,Reuse Factor,RF32,empty,0,0,0,0,0,0,
64,6,Baseline,P1/2/3,skipped_red,0,0,0,1,0,1,res64_layers6_WfloatAfloat_P0_RFbase
64,6,Quantization,W2A2,empty,0,0,0,0,0,0,
64,6,Quantization,W3A3,empty,0,0,0,0,0,0,
64,6,Quantization,W4A4,empty,0,0,0,0,0,0,
64,6,Quantization,W6A6,empty,0,0,0,0,0,0,
64,6,Quantization,W8A8,empty,0,0,0,0,0,0,
64,6,Pruning,P25,empty,0,0,0,0,0,0,
64,6,Pruning,P50,empty,0,0,0,0,0,0,
64,6,Pruning,P75,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF1,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF2,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF4,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF8,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF16,empty,0,0,0,0,0,0,
64,6,Reuse Factor,RF32,empty,0,0,0,0,0,0,
128,2,Baseline,P1/2/3,success,1,0,0,0,0,1,res128_layers2_WfloatAfloat_P0_RFbase
128,2,Quantization,W2A2,success,1,0,0,0,0,1,res128_layers2_W2A2_P0_RFbase
128,2,Quantization,W3A3,success,1,0,0,0,0,1,res128_layers2_W3A3_P0_RFbase
128,2,Quantization,W4A4,success,1,0,0,0,0,1,res128_layers2_W4A4_P0_RFbase
128,2,Quantization,W6A6,success,1,0,0,0,0,1,res128_layers2_W6A6_P0_RFbase
128,2,Quantization,W8A8,success,1,0,0,0,0,1,res128_layers2_W8A8_P0_RFbase
