experiment_name,phase,status,tier,input_resolution,num_layers,conv_filters,final_feature_map_shape,final_avg_pool,final_pool_area,final_pool_work,weight_bits,activation_bits,pruning_target,actual_global_sparsity,actual_sparsity_per_layer,nonzero_parameter_count,reuse_factor,software_accuracy,software_auc,software_pr_auc,software_precision,software_recall,software_f1,false_positive_rate,false_negative_rate,confusion_matrix,keras_hls4ml_prediction_agreement,changed_predictions,mean_output_difference,max_output_difference,hls4ml_conversion_status,hls4ml_csim_status,synthesis_status,LUT,FF,BRAM,DSP,latency,clock_period,failure_stage,failure_reason,run_root,hls_sweep_root,config_path
res64_layers2_W2A2_P0_RFbase,4,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,2,2,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.5126050420168067,0.5408516347715557,0.554584035676622,0.5079365079365079,0.8067226890756303,0.6233766233766234,0.7815126050420168,0.19327731092436976,"[[26, 93], [23, 96]]",0.875,6,0.0982259139418602,0.30078125,success,success,success,45436,17321,21,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W2A2_P0_RFbase_ab470753b4e7,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W2A2_P0_RFbase_ab470753b4e7/hls_sweeps/RFbase_hls_066e019da809,configs/hls4ml_experiment_global/res64_layers2_W2A2_P0_RFbase.yaml
res64_layers2_W3A3_P0_RFbase,4,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,3,3,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.5756302521008403,0.6272155921192006,0.6076897134728737,0.6046511627906976,0.4369747899159664,0.5073170731707317,0.2857142857142857,0.5630252100840336,"[[85, 34], [67, 52]]",0.3125,33,0.1319580078125,0.173828125,success,success,success,48528,19660,22,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W3A3_P0_RFbase_7cb541e10e02,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W3A3_P0_RFbase_7cb541e10e02/hls_sweeps/RFbase_hls_4f4c875c0220,configs/hls4ml_experiment_global/res64_layers2_W3A3_P0_RFbase.yaml
res64_layers2_W4A4_P0_RFbase,4,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,4,4,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.6092436974789915,0.6634418473271662,0.6636618422075163,0.63,0.5294117647058824,0.5753424657534246,0.31092436974789917,0.47058823529411764,"[[82, 37], [56, 63]]",0.625,18,0.0690409317612648,0.1611328125,success,success,success,55248,21925,22,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W4A4_P0_RFbase_61314539f5dc,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W4A4_P0_RFbase_61314539f5dc/hls_sweeps/RFbase_hls_a1a31dd412c1,configs/hls4ml_experiment_global/res64_layers2_W4A4_P0_RFbase.yaml
res64_layers2_W6A6_P0_RFbase,4,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,6,6,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.6764705882352942,0.7254078101828966,0.7044872882623907,0.6206896551724138,0.907563025210084,0.7372013651877133,0.5546218487394958,0.09243697478991597,"[[53, 66], [11, 108]]",1.0,0,0.011833827011287212,0.031585693359375,success,success,success,75268,27879,34,7,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W6A6_P0_RFbase_83ea159c6ada,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W6A6_P0_RFbase_83ea159c6ada/hls_sweeps/RFbase_hls_ed6a1d7997f6,configs/hls4ml_experiment_global/res64_layers2_W6A6_P0_RFbase.yaml
res64_layers2_W8A8_P0_RFbase,4,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,8,8,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.6680672268907563,0.7760045194548407,0.7675179730230496,0.6204819277108434,0.865546218487395,0.7228070175438597,0.5294117647058824,0.13445378151260504,"[[56, 63], [16, 103]]",0.9583333333333334,2,0.0034078359603881836,0.008966445922851562,success,success,success,98180,35023,34,69,18506,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W8A8_P0_RFbase_c2f65284d13f,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers2_W8A8_P0_RFbase_c2f65284d13f/hls_sweeps/RFbase_hls_5f55f68dc5a1,configs/hls4ml_experiment_global/res64_layers2_W8A8_P0_RFbase.yaml
res64_layers2_WfloatAfloat_P0_RFbase,2,success,green,64,2,"[8, 16]",8x8x16,"[8, 8]",64,1024,float,float,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""output_dense"": 0.0}",1368,1,0.680672268907563,0.7918226113975001,0.7788217127452985,0.6242774566473989,0.907563025210084,0.7397260273972602,0.5462184873949579,0.09243697478991597,"[[54, 65], [11, 108]]",0.6041666666666667,19,0.03811277076601982,0.041590139269828796,success,success,success,103589,57419,73,1018,18505,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers2_WfloatAfloat_P0_RFbase_ec0f07d332b7,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_float/res64_layers2_WfloatAfloat_P0_RFbase_ec0f07d332b7/hls_sweeps/RFbase_hls_84c85e9c365b,configs/hls4ml_experiment_global/res64_layers2_WfloatAfloat_P0_RFbase.yaml
res64_layers3_W2A2_P0_RFbase,4,success,green,64,3,"[8, 16, 24]",4x4x24,"[4, 4]",16,384,2,2,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""output_dense"": 0.0}",4832,1,0.5168067226890757,0.56062424969988,0.5545292780175604,0.5227272727272727,0.3865546218487395,0.4444444444444444,0.35294117647058826,0.6134453781512605,"[[77, 42], [73, 46]]",1.0,0,0.0732421875,0.171875,success,success,success,59817,20087,36,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W2A2_P0_RFbase_8c205f4a3e00,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W2A2_P0_RFbase_8c205f4a3e00/hls_sweeps/RFbase_hls_75e488746149,configs/hls4ml_experiment_global/res64_layers3_W2A2_P0_RFbase.yaml
res64_layers3_W3A3_P0_RFbase,4,success,green,64,3,"[8, 16, 24]",4x4x24,"[4, 4]",16,384,3,3,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""output_dense"": 0.0}",4832,1,0.5588235294117647,0.5784196031353718,0.5810155930986091,0.5564516129032258,0.5798319327731093,0.5679012345679012,0.46218487394957986,0.42016806722689076,"[[64, 55], [50, 69]]",0.5833333333333333,20,0.1735026091337204,0.4296875,success,success,success,60313,22711,39,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W3A3_P0_RFbase_3d6435169d70,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W3A3_P0_RFbase_3d6435169d70/hls_sweeps/RFbase_hls_b4f5dec18336,configs/hls4ml_experiment_global/res64_layers3_W3A3_P0_RFbase.yaml
res64_layers3_W4A4_P0_RFbase,4,success,green,64,3,"[8, 16, 24]",4x4x24,"[4, 4]",16,384,4,4,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""output_dense"": 0.0}",4832,1,0.6260504201680672,0.7167572911517548,0.7251244158655322,0.6829268292682927,0.47058823529411764,0.5572139303482587,0.2184873949579832,0.5294117647058824,"[[93, 26], [63, 56]]",0.5833333333333333,20,0.109619140625,0.25390625,success,success,success,77055,26011,39,0,13883,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W4A4_P0_RFbase_85b1cc7efaa4,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W4A4_P0_RFbase_85b1cc7efaa4/hls_sweeps/RFbase_hls_0e08b95aa909,configs/hls4ml_experiment_global/res64_layers3_W4A4_P0_RFbase.yaml
res64_layers3_W6A6_P0_RFbase,4,success,green,64,3,"[8, 16, 24]",4x4x24,"[4, 4]",16,384,6,6,0,0.0,"{""conv0"": 0.0, ""conv1"": 0.0, ""conv2"": 0.0, ""output_dense"": 0.0}",4832,1,0.6890756302521008,0.76089259233105,0.746180823848051,0.6717557251908397,0.7394957983193278,0.704,0.36134453781512604,0.2605042016806723,"[[76, 43], [31, 88]]",1.0,0,0.0229339599609375,0.068359375,success,success,success,135620,36513,61,7,18506,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W6A6_P0_RFbase_f212d5bff354,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts/cnn_small_hls_opt_img64/notebook_qat/res64_layers3_W6A6_P0_RFbase_f212d5bff354/hls_sweeps/RFbase_hls_a1a744ac4b7e,configs/hls4ml_experiment_global/res64_layers3_W6A6_P0_RFbase.yaml
