experiment_name,phase,status,tier,input_resolution,num_layers,conv_filters,final_feature_map_shape,final_avg_pool,final_pool_area,final_pool_work,weight_bits,activation_bits,pruning_target,actual_global_sparsity,actual_sparsity_per_layer,nonzero_parameter_count,reuse_factor,software_accuracy,software_auc,software_pr_auc,software_precision,software_recall,software_f1,false_positive_rate,false_negative_rate,confusion_matrix,keras_hls4ml_prediction_agreement,changed_predictions,mean_output_difference,max_output_difference,hls4ml_conversion_status,hls4ml_csim_status,synthesis_status,LUT,FF,BRAM,DSP,latency,clock_period,failure_stage,failure_reason,run_root,hls_sweep_root,config_path
res256_layers6_W8A8_P50_RFResource1,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,1,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,483618,154091,193,1577,405611,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource1_hls_d2bc678835a2,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource1.yaml
res256_layers6_W8A8_P50_RFResource16,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,16,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,150683,117758,236,929,2095610,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource16_hls_3f9b301234a1,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource16.yaml
res256_layers6_W8A8_P50_RFResource2,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,2,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,484018,353170,237,7482,405611,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource2_hls_dc85b0eaeac9,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource2.yaml
res256_layers6_W8A8_P50_RFResource32,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,32,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,130495,100978,236,457,2095610,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource32_hls_d7908f8a9cc4,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource32.yaml
res256_layers6_W8A8_P50_RFResource4,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,4,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,295581,221347,243,3756,878810,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource4_hls_ba25186e374d,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource4.yaml
res256_layers6_W8A8_P50_RFResource8,5,success,green,256,6,"[8, 16, 24, 24, 32, 32]",2x2x32,"[2, 2]",4,128,8,8,50,0.49938819210767815,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""output_dense"": 0.0}",13092,8,0.8907563025210085,0.9635618953463738,0.9693129342090775,0.8780487804878049,0.907563025210084,0.8925619834710744,0.12605042016806722,0.09243697478991597,"[[104, 15], [11, 108]]",0.9791666666666666,1,0.0719502791762352,0.2451171875,success,success,success,203768,155559,242,1898,878810,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource8_hls_e8e455c7a7c5,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers6_W8A8_P50_RFResource8.yaml
res256_layers7_W8A8_P50_RFResource1,5,success,green,256,7,"[8, 16, 24, 24, 32, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,50,0.49954761366206746,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""conv6"": 0.5, ""output_dense"": 0.0}",17700,1,0.9453781512605042,0.9835463597203588,0.985193861014664,0.9649122807017544,0.9243697478991597,0.944206008583691,0.03361344537815126,0.07563025210084033,"[[115, 4], [9, 110]]",0.9583333333333334,2,0.0935872420668602,0.4697265625,success,success,success,630893,196977,193,2092,405611,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource1.yaml
res256_layers7_W8A8_P50_RFResource16,5,success,green,256,7,"[8, 16, 24, 24, 32, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,50,0.49954761366206746,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""conv6"": 0.5, ""output_dense"": 0.0}",17700,16,0.9453781512605042,0.9835463597203588,0.985193861014664,0.9649122807017544,0.9243697478991597,0.944206008583691,0.03361344537815126,0.07563025210084033,"[[115, 4], [9, 110]]",0.9583333333333334,2,0.0935872420668602,0.4697265625,success,success,success,187414,148370,244,1249,2095610,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource16_hls_bbab2a8cfb79,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource16.yaml
res256_layers7_W8A8_P50_RFResource2,5,success,green,256,7,"[8, 16, 24, 24, 32, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,50,0.49954761366206746,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""conv6"": 0.5, ""output_dense"": 0.0}",17700,2,0.9453781512605042,0.9835463597203588,0.985193861014664,0.9649122807017544,0.9243697478991597,0.944206008583691,0.03361344537815126,0.07563025210084033,"[[115, 4], [9, 110]]",0.9583333333333334,2,0.0935872420668602,0.4697265625,success,success,success,641288,468497,245,10041,405611,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource2.yaml
res256_layers7_W8A8_P50_RFResource32,5,success,green,256,7,"[8, 16, 24, 24, 32, 32, 32]",1x1x32,"[1, 1]",1,32,8,8,50,0.49954761366206746,"{""conv0"": 0.5, ""conv1"": 0.5, ""conv2"": 0.5, ""conv3"": 0.5, ""conv4"": 0.5, ""conv5"": 0.5, ""conv6"": 0.5, ""output_dense"": 0.0}",17700,32,0.9453781512605042,0.9835463597203588,0.985193861014664,0.9649122807017544,0.9243697478991597,0.944206008583691,0.03361344537815126,0.07563025210084033,"[[115, 4], [9, 110]]",0.9583333333333334,2,0.0935872420668602,0.4697265625,success,success,success,158874,124776,244,617,2095610,5.00 ns,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource32_hls_6b653c3fdc27,configs/hls4ml_selected_feasible_candidates_resource_strategy/res256_layers7_W8A8_P50_RFResource32.yaml
