experiment_name,phase,tier,status,requested_stages,completed_stages,failure_stage,failure_reason,run_root,hls_sweep_root,config_path,started_at,finished_at
res256_layers6_W8A8_P50_RFResource32,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource32_hls_d7908f8a9cc4,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res256_layers6_W8A8_P50_RFResource32.yaml,2026-05-13 20:02:14,2026-05-13 20:18:31
res256_layers6_W8A8_P50_RFResource16,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource16_hls_3f9b301234a1,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res256_layers6_W8A8_P50_RFResource16.yaml,2026-05-13 20:02:14,2026-05-13 20:19:16
res256_layers7_W8A8_P50_RFResource32,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource32_hls_6b653c3fdc27,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res256_layers7_W8A8_P50_RFResource32.yaml,2026-05-13 20:02:14,2026-05-13 20:23:16
res256_layers7_W8A8_P50_RFResource16,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource16_hls_bbab2a8cfb79,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res256_layers7_W8A8_P50_RFResource16.yaml,2026-05-13 20:02:14,2026-05-13 20:25:01
res512_layers7_W8A8_P50_RFResource32,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b/hls_sweeps/RFResource32_hls_aa7807bc116c,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res512_layers7_W8A8_P50_RFResource32.yaml,2026-05-13 20:02:14,2026-05-13 20:31:02
res512_layers7_W8A8_P50_RFResource16,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b/hls_sweeps/RFResource16_hls_bfa9ddb35197,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave1_rf32_rf16/res512_layers7_W8A8_P50_RFResource16.yaml,2026-05-13 20:02:14,2026-05-13 20:32:47
res256_layers6_W8A8_P50_RFResource8,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource8_hls_e8e455c7a7c5,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave2_rf8_rf4/res256_layers6_W8A8_P50_RFResource8.yaml,2026-05-13 20:33:11,2026-05-13 21:01:29
res512_layers7_W8A8_P50_RFResource8,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_resource_strategy_from_b3a09a3d898b/hls_sweeps/RFResource8_hls_00d67c66dfd0,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave2_rf8_rf4/res512_layers7_W8A8_P50_RFResource8.yaml,2026-05-13 20:33:11,2026-05-13 21:08:30
res256_layers7_W8A8_P50_RFResource8,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource8_hls_9c3f5eeda556,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave2_rf8_rf4/res256_layers7_W8A8_P50_RFResource8.yaml,2026-05-13 20:33:11,2026-05-13 21:09:00
res256_layers6_W8A8_P50_RFResource4,5,green,success,hls,hls,,,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers6_W8A8_P50_RFbase_resource_strategy_from_e7705f9077f8/hls_sweeps/RFResource4_hls_ba25186e374d,configs/hls4ml_selected_feasible_candidates_resource_strategy_waves/wave2_rf8_rf4/res256_layers6_W8A8_P50_RFResource4.yaml,2026-05-13 20:33:11,2026-05-13 21:10:30
